プロテクティブ・プット（PP）では、あらかじめプット・オプションを購入するため、満期時の最小価値（フロア）が{{c1::契約時点で確定}}する。	[Definition] プロテクティブ・プット（PP）の本質
プロテクティブ・プット（PP）の長所は、保険料（オプション・プレミアム）を最初に支払うだけで、{{c1::追加の手間がかからない}}ことである。	[Causality] プロテクティブ・プット（PP）の長所
プロテクティブ・プット（PP）の短所は、市場に{{c1::自分が必要な期間・行使価格のオプションが存在するかどうかが最大の懸念点}}であることだ。	[Causality] プロテクティブ・プット（PP）の短所
ポートフォリオ・インシュアランス（PI）は、{{c1::先物の売買を繰り返す}}ことで、理論的にプットと同じ損益曲線を作る手法である。	[Definition] ポートフォリオ・インシュアランス（PI）の本質
ポートフォリオ・インシュアランス（PI）は、先物が{{c1::流動性が高い}}ため、{{c2::巨額の資産を運用する機関投資家}}に向いている。	[Parallel] ポートフォリオ・インシュアランス（PI）の長所
ポートフォリオ・インシュアランス（PI）は、「動的な調整（ダイナミック・ヘッジ）」を前提とするため、{{c1::相場の急変}}や{{c2::ボラティリティの急増}}に弱いという弱点がある。	[Parallel] ポートフォリオ・インシュアランス（PI）の短所
保有している現物株の銘柄構成が指数と異なる場合、指数は下がってもデリバティブで利益が出るが、現物株がそれ以上に下がるといった「乖離」を{{c1::ベース・リスク}}という。	[Definition] ベース・リスク（乖離）の定義
オプション市場の厚みが足りない場合、{{c1::流動性}}の高さからポートフォリオ・インシュアランス（PI）が選ばれる理由となる。	[Causality] PIが選ばれる理由（流動性）
ポートフォリオ・インシュアランス（PI）の短所として、頻繁な売買が利益を削る{{c1::取引コスト}}が挙げられる。	[Causality] PIの短所（取引コスト）
ポートフォリオ・インシュアランス（PI）の短所として、ガンマ・リスクによりヘッジが追いつかなくなる{{c1::ボラティリティの上昇}}が挙げられる。	[Causality] PIの短所（ボラティリティの上昇）
ブラック・マンデー（1987年）においてポートフォリオ・インシュアランス（PI）が機能しなかった理由として、「{{c1::売りが売りを呼ぶ悪循環}}」や「{{c2::連続的な取引が困難になったこと}}」が挙げられる。	[Parallel] ブラック・マンデーにおけるPIの機能不全の理由
プロテクティブ・プット（PP）はオプションの買いなので{{c1::証拠金は不要}}だが、ポートフォリオ・インシュアランス（PI）は先物の売りを伴うため{{c2::証拠金管理が必要}}である。	[Contrast] PPとPIの証拠金の有無
ポートフォリオ・インシュアランス（PI）において、先物の満期が来る前に次の限月へ乗り換えることを{{c1::ロールオーバー}}という。	[Definition] ロールオーバーの定義
ロールオーバーにより、ポートフォリオ・インシュアランス（PI）では理論上{{c1::超長期のヘッジが可能}}となる。	[Causality] ロールオーバーによるPIの長所
