フィッシャー方程式は、名目金利（$y$）が「{{c1::実質金利（$r$）}}＋ {{c2::期待インフレ率（$\\pi^e$）}}」で構成されるという経済学の基本原則に基づいています。	[Definition] フィッシャー方程式
ブレイク・イーブン・インフレ率（BEI）は、{{c1::名目債}}と{{c2::インフレ連動債}}のどちらを買っても{{c3::最終的な投資成果が同じになるインフレ率}}を指します。	[Definition] ブレイク・イーブン・インフレ率（BEI）の定義
インフレ連動債は、物価が上がると{{c1::元本やクーポンも増える}}ため、{{c2::インフレヘッジが可能}}です。	[Definition] インフレ連動債の特性
名目債は、物価が上がっても{{c1::受け取れる額は変わりません}}。	[Definition] 名目債の特性
中央銀行（日銀など）も、市場参加者が将来の物価をどう見ているかを測るための重要な物差しとして{{c1::ブレイク・イーブン・インフレ率（BEI）}}を注視しています。	[Definition] ブレイク・イーブン・インフレ率（BEI）の役割
投資家の予想インフレ率が市場のBEIよりも大きい場合（予想インフレ率 $>$ BEI）、市場はインフレを{{c1::過小評価}}していると判断され、{{c2::インフレ連動債}}が有利です。	[Causality] 予想インフレ率とBEIに基づく投資判断（インフレ連動債が有利なケース）
投資家の予想インフレ率が市場のBEIよりも小さい場合（予想インフレ率 $<$ BEI）、市場はインフレを{{c1::過大評価}}していると判断され、{{c2::名目債}}が有利です。	[Causality] 予想インフレ率とBEIに基づく投資判断（名目債が有利なケース）
{{c1::デフレ局面}}や{{c2::超低金利環境下}}では、インフレ連動債の実質利回り（$r$）が{{c3::マイナス}}になることがあります。	[Causality] インフレ連動債の実質利回りがマイナスになるケース
インフレ連動債の実質利回り（$r$）がマイナスになるケースでは、ブレイク・イーブン・インフレ率（BEI）が名目利回り（$y$）よりも{{c1::大きく}}なります（$y < BEI$）。	[Causality] 実質利回りがマイナスになる場合のBEIと名目利回りの関係
理論上はブレイク・イーブン・インフレ率（BEI）と期待インフレ率は{{c1::一致}}します。	[Definition] BEIと期待インフレ率の理論上の関係
実際にはブレイク・イーブン・インフレ率（BEI）に「{{c1::インフレ・リスク・プレミアム}}」や「{{c2::流動性プレミアム}}」が含まれているため、厳密には期待インフレ率と一致しません。	[Parallel] BEIと期待インフレ率の実際の乖離要因
ブレイク・イーブン・インフレ率（BEI）を計算する際は、比較する名目債とインフレ連動債の「{{c1::残存期間}}」を{{c2::揃える}}必要があります。	[Causality] BEI計算における残存期間の重要性
比較する名目債とインフレ連動債の残存期間が異なると、{{c1::正確なブレイク・イーブン・インフレ率（BEI）は算出できません}}。	[Causality] 残存期間が異なる場合のBEI計算
