通常のCAPMでは、投資家は「市場ポートフォリオ（リスク資産）」と「安全資産」を組み合わせますが、IAPMではこの市場ポートフォリオが「{{c1::世界市場ポートフォリオ}}」に置き換わります。	[Definition] IAPMにおける市場ポートフォリオ
IAPMの最大の特徴は、リスク資産の持ち方にあります。各国の投資家は、世界の全リスク資産を時価総額比率で持ちますが、同時に為替リスクを「{{c1::部分的}}」にヘッジすることが最適であるとされています（ブラックのユニバーサル・ヘッジ比率理論）。	[Definition] IAPMにおける為替リスクヘッジ
投資家は自分の消費の拠点となる国の通貨（自国通貨）でのリターンを重視するため、安全資産は「{{c1::自国の無リスク資産（例：日本国債）}}」を選択します。	[Definition] IAPMにおける安全資産の選択
IAPMの下での市場ポートフォリオの内容は「{{c1::時価総額加重}}」であること、そして「{{c2::為替ヘッジが考慮されている}}」ことがキーワードです。	[Parallel] IAPMにおける世界市場ポートフォリオの構成要素
IAPMとCAPMの共通点として、{{c1::分離定理（リスク資産と無リスク資産の組み合わせ）が成り立つ}}ことが挙げられる。	[Definition] IAPMとCAPMの共通点
IAPMでは為替リスクが{{c1::価格決定要因（リスクプレミアム）}}として加わる点でCAPMと相違する。	[Contrast] IAPMとCAPMの相違点（為替リスク）
IAPMは、購買力平価が{{c1::成立しない（国ごとに消費バスケットが異なる）}}ことを前提とする場合が多い点でCAPMと相違する。	[Contrast] IAPMとCAPMの相違点（購買力平価）
理論上（IAPM）は世界市場全体に投資すべきですが、現実は自国資産に偏る「{{c1::ホーム・バイアス}}」が存在します。	[Definition] ホーム・バイアス
IAPMの理論とホーム・バイアスの現実のギャップについて、{{c1::制度的障壁}}や{{c2::情報コスト}}の観点から論じさせる問題がよく出ます。	[Parallel] ホーム・バイアスと理論のギャップの要因
「{{c1::全ての投資家にとって共通の最適なヘッジ比率が存在する}}」という結論をユニバーサル・ヘッジという。	[Definition] ユニバーサル・ヘッジの結論
