スプレッドコストは{{c1::市場の流動性を表す指標}}である。	[Definition] スプレッドコストの定義
スプレッドコストは、大型株ほど{{c1::狭く}}、中小型株や不人気銘柄ほど{{c2::広く}}なる傾向がある。	[Parallel] スプレッドコストの傾向
「自分の買い注文が、自分の買う価格を押し上げてしまう」現象を{{c1::マーケットインパクト}}という。	[Definition] マーケットインパクトの定義
マーケットインパクトは、特に{{c1::機関投資家のような大口注文}}において深刻な問題となる。	[Causality] マーケットインパクトが問題となるケース
タイミング・遅延コストは{{c1::機会費用（Opportunity Cost）}}の一種である。	[Definition] タイミング・遅延コストの定義
タイミング・遅延コストとは、「買いたい」と決めた瞬間から、実際に市場で注文を出すまでの間に株価が{{c1::上がってしまう（買いの場合）}}と、その分だけ利益を{{c2::損なう}}ことである。	[Causality] タイミング・遅延コストの内容
取引コストの計算では、{{c1::買い注文}}と{{c2::売り注文}}で計算順序が逆転することに注意が必要である。	[Parallel] 取引コスト計算の注意点
買い注文の場合、{{c1::高い価格で約定する}}ことがコスト増となる。	[Causality] 買い注文時のコスト増の条件
売り注文の場合、{{c1::低い価格で約定する}}ことがコスト増となる。	[Causality] 売り注文時のコスト増の条件
個別の取引コストを合算したものを{{c1::実装不足（インプリメンテーション・ショートフォール）}}と呼ぶ。	[Definition] 実装不足（Implementation Shortfall）の定義
実装不足は「{{c1::理論的なリターン（意思決定時の価格で全量買えたと仮定）}} － {{c2::実際のリターン（手数料や価格変動を含んだ結果）}}」で表される。	[Parallel] 実装不足の計算式（概念）
取引コストの評価基準として、{{c1::執行前気配}}のほかに{{c2::VWAP（売買高加重平均価格）}}が使われることがある。	[Parallel] 取引コストの評価基準
VWAPアルゴリズムやアイスバーグ注文といったアルゴリズム取引が使われるのは、{{c1::マーケットインパクトを最小化するため}}である。	[Causality] アルゴリズム取引の目的
