資産を切り離して売却することで、バランスシート（B/S）の{{c1::スリム化}}が図れます。	[Causality] 証券化のメリット：オリジネーターのオフバランス化
資産のオフバランス化により、{{c1::自己資本比率の向上}}や{{c2::ROA（総資産利益率）の改善}}が期待できます。	[Parallel] 証券化のメリット：オフバランス化の効果
特定目的会社（SPC）等を用いることで、万が一オリジネーターが倒産しても、{{c1::裏付け資産のキャッシュフローは確保}}されます。	[Definition] 証券化のメリット：倒産隔離
倒産隔離により、{{c1::自社の格付けよりも高い格付けでの資金調達}}が可能になります。	[Causality] 証券化のメリット：倒産隔離による資金調達
社債や国債とは異なるリスク源（住宅ローンの繰上償還リスクなど）を持つため、証券化商品は{{c1::分散投資の対象}}として魅力的です。	[Definition] 証券化のメリット：投資家の新たなリスク・リターン特性
証券化商品は、複雑な構造や流動性の低さを反映し、同格付けの一般債券よりも{{c1::高い利回り}}が設定される傾向にあります。	[Causality] 証券化のメリット：投資家の利回り獲得
証券化が成立するための法的・会計的条件として「{{c1::真の売買（True Sale）}}」が問われることがあります。	[Definition] 証券化の法的・会計的条件
資産が完全に移転していないと見なされると、{{c1::オフバランス化が認められず}}、証券化のメリットが失われます。	[Causality] 真の売買の重要性
住宅ローン担保証券（MBS）における「{{c1::金利低下時の繰上償還リスク}}」は、コーラブル債のネガティブ・コンベキシティと同じロジックで試験に出題されます。	[Definition] MBSの期前償還リスク
証券化では「{{c1::自社の信用力に依存しない}}」という点が重要です。	[Definition] 証券化における格付けの根拠
資産自体の質（担保の分散状況やLTVなど）が格付けの根拠となるため、オリジネーターがBランクでも、資産が優良なら証券は{{c1::AAA}}になる可能性があります。	[Causality] 証券化における格付けの決定要因
オリジネーターが資産を売却してリスクを投資家に転嫁してしまうため、資産の審査が甘くなる「{{c1::モラルハザード}}」が起きやすいという定性的な議論も重要です。	[Definition] 証券化におけるエージェンシー問題
