投資対象を「{{c1::期待収益率（平均）}}」と「{{c2::収益率のばらつき（分散・標準偏差）}}」という2つの指標だけで評価する手法を平均・分散アプローチ（2パラメータ・アプローチ）という。	[Definition] 平均・分散アプローチの定義
平均・分散アプローチの最大の特徴は、投資家の好みや複雑な要因を{{c1::期待収益率（平均）}}と{{c2::収益率のばらつき（分散・標準偏差）}}の2つに集約して考えることである。	[Definition] 平均・分散アプローチの特徴
証券分析（マーコウィッツ理論）では、リスクを「{{c1::期待していた値からどれだけ外れるか}}」という{{c2::上下両方の振れ幅}}と定義する。	[Definition] 証券分析におけるリスクの定義
日常用語での「リスク」は「損をする可能性」という悪い意味で使われるが、証券分析（マーコウィッツ理論）では、予想外に大儲けすることもこの定義上は「{{c1::リスクが高い}}」ことに含まれる。	[Definition] 証券分析におけるリスクの定義の含意
平均・分散アプローチでは、投資家は「{{c1::同じリスクならリターンが高い方を好み}}、{{c2::同じリターンならリスクが低い方を好む（{{c3::リスク回避的}}）}}」であると仮定されている。	[Definition] 平均・分散アプローチにおける投資家の仮定
理論的な数式の展開では「{{c1::分散（$\sigma^2$）}}」が便利だが、グラフを描画したりリターン（％）と比較したりする際には、単位を揃えるために「{{c2::標準偏差（$\sigma$）}}」が使われる。	[Contrast] 分散と標準偏差の使い分け
試験の記述や選択肢で単位が％になっている場合は{{c1::標準偏差}}を指していることが多い。	[Definition] 試験における標準偏差の識別
平均・分散アプローチが有効であるためには、「{{c1::収益率が正規分布に従っていること}}」や「{{c2::投資家の効用関数が2次の形式であること}}」などの前提条件が必要である。	[Parallel] 平均・分散アプローチの前提条件
現実の市場（暴落が頻発する、分布が歪んでいるなど）において、平均・分散アプローチは必ずしも{{c1::万能ではない}}という批判的な視点もCMA第2次試験の論述で問われることがある。	[Definition] 平均・分散アプローチの限界
平均・分散アプローチ（上下の振れ）に対し、下振れリスクのみを重視する指標には「{{c1::セーフティ・ファースト（安全第一主義）}}」や「{{c2::バリュー・アット・リスク（VaR）}}」がある。	[Parallel] 下振れリスクのみを測る指標
