なお、危険資産の最適な組合せである接点ポートフォリオTの決定は、：$$シャープ・レシオ = \frac{{{c1::期待収益率}} - {{c2::リスクフリー・レート}}}{{{c3::標準偏差}}}$$	[Formula] なお、危険資産の最適な組合せである接点ポートフォリオTの決定は、
縦軸上の $R_F$ から曲線に引いた接線（直線 $R_FTN$）が、すべての投資家にとって最も効率的な選択肢となる。これを{{c1::資本市場線（CML）}}と呼ぶ。	[Definition] 資本市場線（CML）の定義
最適投資の意思決定を以下の2つのステップに「{{c1::分離}}」できるという理論を分離定理という。	[Definition] 分離定理の定義
分離定理のステップ1「投資対象の選択」では、投資家の主観（リスク回避度）に関係なく、リスク資産の中では{{c1::接点ポートフォリオT（最もシャープ・レシオが高い組み合わせ）}}を持つのがベストである。	[Sequential] 分離定理のステップ1
分離定理のステップ2「配分比率の決定」では、投資家の{{c1::リスク回避度}}に応じて、そのポートフォリオTと安全資産をどのような比率で持つかを決める。	[Sequential] 分離定理のステップ2
接点ポートフォリオTは、資本市場線の「{{c1::傾き}}」が最大になる点である。	[Definition] 接点ポートフォリオTの定義
接点ポートフォリオTにおける資本市場線の傾きは、リスク1単位あたりの超過リターンを示す「{{c1::シャープ・レシオ}}」に他ならない。	[Definition] 接点ポートフォリオTとシャープ・レシオの関係
分離定理の結論として、「すべての投資家は、そのリスク回避度にかかわらず、{{c1::同一の危険資産ポートフォリオ（接点ポートフォリオ）}}を保有する」という点が重要である。	[Definition] 分離定理の結論
接点ポートフォリオの中身（銘柄構成比率）は、投資家の{{c1::好みには依存しない}}。	[Definition] 接点ポートフォリオの構成比率
複数のポートフォリオ候補から「最適なものを選べ」と言われた場合、{{c1::シャープ・レシオが最大}}のものを選ぶのが定石である。	[Causality] 最適なポートフォリオの選択基準
資本市場線において、接点Tより右側の直線部分は、「{{c1::安全資産を借り入れて（レバレッジをかけて）、リスク資産Tに100%超の投資をしている}}」状態を指す。	[Definition] 資本市場線における接点Tの右側の意味
資本市場線において、接点Tより右側の直線部分の選択が最適となるのは、投資家の{{c1::リスク許容度が極めて高い}}場合である。	[Causality] 接点Tの右側が最適となる条件
