$1^{\circ}$ 一般にVaRはオーバーナイトで測定する場合が多いので、問題によっては $\mu = 0$ として計算される。：$$VaR = {{c1::V_P}} \times ({{c2::\mu}} - {{c3::z}}{{c4::\sigma}})$$	[Formula] $1^{\circ}$ 一般にVaRはオーバーナイトで測定する場合が多いので、問題によっては $\mu = 0$ として計算される。
VaR（Value at Risk）は「{{c1::ある一定期間（保有期間）に、ある確率（信頼水準）の範囲内で発生しうる最大損失額}}」です。	[Definition] VaRの定義
正規分布を仮定する場合、VaRの信頼水準95%の場合の信頼係数 $z$ は{{c1::約1.65}}、信頼水準99%の場合の信頼係数 $z$ は{{c2::約2.33}}です。	[Parallel] VaRの信頼水準と信頼係数
保有期間が1日（オーバーナイト）などの短期の場合、期待収益率 $\mu$ はリスク $\sigma$ に比べて極めて小さいため、実務や計算問題では{{c1::0}}とみなすことが多々あります。	[Causality] 期待収益率 $\mu = 0$ の仮定
VaRには「最大損失を定義しているが、それを超えたときに{{c1::どれだけひどいことになるか（テイルリスク）}}がわからない」という欠点があります。	[Definition] VaRの欠点
TVaRは、VaRのハズレ値（テイル）部分の{{c1::平均値}}をとるため、より{{c2::保守的}}で、リスクの合算が可能な「劣加法性」という望ましい数学的性質を持っています。	[Parallel] TVaRの定義と利点
{{c1::TVaR}} = {{c2::CVaR}} = {{c3::ES（期待ショートフォール）}}です。	[Parallel] TVaRの同義語
問題文でどの名称が使われても、{{c1::VaRを超えた部分の平均損失}}のことだと即座に判断してください。	[Definition] TVaR/ESの指す内容
劣加法性とは「ポートフォリオを組むことでリスクが分散される（{{c1::$A+B$のリスク $\leq A$のリスク $+ B$のリスク}}）」という性質です。	[Definition] 劣加法性の定義
劣加法性は、VaRは{{c1::満たさない場合がある}}が、TVaRは{{c2::必ず満たします}}。	[Contrast] VaRとTVaRにおける劣加法性
VaRは「損失額」を指すため、通常は{{c1::正の数値}}で答えます。	[Definition] VaRの計算における符号
リターンの式 $(\mu - z\sigma)$ 自体は負の値になることが多いため、最後に絶対値をとるのか、$V_P \times$ (下落率) として計算するのか、設問の形式（「{{c1::損失額を求めよ}}」か「{{c2::収益率を求めよ}}」か）に合わせましょう。	[Parallel] VaRの計算における設問形式への対応
1日VaRを算出し、それを{{c1::$\sqrt{10}$倍}}して10日VaRを求めます。	[Definition] VaRの期間調整
VaRの期間調整を行う際の前提条件は{{c1::独立同一分布}}です。	[Definition] VaRの期間調整の前提条件
