代替資産とは、{{c1::不動産、インフラ、コモディティ（金や原油）、プライベート・エクイティ（未公開株）など、取引所に上場されていない実物資産や権利}}を含みます。	[Definition] 代替資産の定義
代替手法とは、ヘッジファンドに代表される、{{c1::ロング・ショート（買いと売りの組み合わせ）やレバレッジを駆使した、市場全体の動き（ベータ）に依存しない収益（アルファ）を狙う手法}}を指します。	[Definition] 代替手法の定義
オルタナティブ投資は、多くの場合、{{c1::複雑な構造やレバレッジ}}を伴うため、高いリターンが期待できる一方で、損失も大きくなる傾向があります。	[Causality] オルタナティブ投資のハイリスク・ハイリターン
オルタナティブ投資は、伝統的資産との「{{c1::相関が低い}}」ため、ポートフォリオ全体のリスクを{{c2::抑える}}効果も期待されます。	[Causality] オルタナティブ投資のポートフォリオ効果
オルタナティブ投資は流動性が低く、上場株式のように「{{c1::いつでも、適正価格ですぐに売る}}」ことが困難です。{{c2::ロックアップ期間（解約禁止期間）が設けられていたり、市場が未成熟であったりする}}ため、換金には時間がかかります。	[Definition] オルタナティブ投資の流動性
オルタナティブ投資を組み入れる最大のメリットは「{{c1::伝統的資産との低相関}}」です。	[Definition] オルタナティブ投資の分散効果（メリット）
オルタナティブ投資は、金融危機時には伝統的資産との相関が{{c1::高まってしまう}}という限界があります。	[Causality] オルタナティブ投資の分散効果（限界）
「流動性が低い」ことは一般にデメリットですが、その分、投資家は高いリターンを要求します。これを「{{c1::流動性プレミアム}}」と呼びます。	[Definition] 流動性プレミアムの定義
オルタナティブ投資における「情報の非対称性」は、収益（アルファ）を生む{{c1::機会}}であると同時に、{{c2::リスク}}でもあります。	[Parallel] 情報非対称性
不動産や未公開株の評価は、毎日時価がつく株式と違い、{{c1::鑑定評価やモデル計算}}に頼る部分が大きくなります。	[Definition] 評価（バリュエーション）の難しさ
評価のラグ（遅れ）が、見かけ上の相関係数を{{c1::低く見せている（スムージング現象）}}可能性に注意が必要です。	[Causality] スムージング現象
