Point：APT（裁定価格理論）：$$E[R_i] = {{c1::R_F}} + {{c2::b_{i1}}}{{c3::\lambda_1}} + {{c4::b_{i2}}}{{c5::\lambda_2}} + \cdots + {{c6::b_{ik}}}{{c7::\lambda_k}}$$	[Formula] Point：APT（裁定価格理論）
Point：APT（裁定価格理論）：$$ = {{c1::R_F}} + \su{{c2::m_{j=1}}}^{{{c3::k}}} {{c4::b_{ij}}}{{c5::\lambda_j}}$$	[Formula] Point：APT（裁定価格理論）
CAPMが「{{c1::すべての投資家が平均・分散アプローチで行動する}}」といった強い仮定を置くのに対し、APTは「{{c2::裁定取引が行われる結果、不当な価格は是正される}}」という、より現実的なメカニズムに基づいています。	[Contrast] CAPMとAPTの仮定の違い
ファクター・リスクプレミアム ($\\lambda_j$) は、{{c1::特定のファクター（景気、金利、インフレ等）に対して感応度1を持ち、他は0である「純粋なポートフォリオ」が、安全資産に対してどれだけ高いリターン（超過収益）を持つか}}を示します。	[Definition] ファクター・リスクプレミアムの定義
証券のリターンは、{{c1::安全資産の利回り}}に、その証券がさらされている各リスク要因に対する報酬（{{c2::感応度}} $\\times$ {{c3::プレミアム}}）をすべて足し合わせたものになります。	[Parallel] APTにおける証券の期待収益率の決定
「ファクター・ポートフォリオ」とは、特定のファクターに対して{{c1::感応度が1}}で、{{c2::他が0}}であるポートフォリオである。	[Definition] ファクター・ポートフォリオの定義
裁定ポートフォリオの構築条件は、①{{c1::追加資金ゼロ}} ($\\sum w_i = 0$)、②{{c2::ファクター・リスクゼロ}} ($\\sum w_i b_{ij} = 0$)、③{{c3::期待収益率がプラス}} ($\\sum w_i E[R_i] > 0$)である。	[Parallel] 裁定ポートフォリオの構築条件
裁定ポートフォリオが作れる場合、市場は「{{c1::均衡していない}}」と判断されます。	[Causality] 裁定ポートフォリオと市場均衡
CAPMは、APTにおけるファクターを「{{c1::市場ポートフォリオ}}」という唯一の要因に限定した「{{c2::APTの特殊なケース}}」である。	[Definition] CAPMとAPTの包含関係
APT自体は「{{c1::どのファクターが重要か}}」までは教えてくれないため、具体的なファクターを特定する別の研究と組み合わせて使われるのが一般的である。	[Causality] APTの限界と活用方法
保有期間利回り ($r$) $=$ 債券の売却時点までの利回り：$$r = \frac{{{c1::C}} + {{c2::P}}'}{{{c2::P}}} - 1$$	[Formula] 保有期間利回り ($r$) $=$ 債券の売却時点までの利回り
保有期間利回り ($r$) $=$ 債券の売却時点までの利回り：$$P = \frac{{{c1::C}} + {{c2::P}}'}{1 + {{c3::r}}}$$	[Formula] 保有期間利回り ($r$) $=$ 債券の売却時点までの利回り
保有期間利回り（HPR）とは、投資期間中の{{c1::インカム・ゲイン（クーポン $C$）}}と、{{c2::キャピタル・ゲイン（売却価格 $P'$ $-$ 購入価格 $P$）}}の合計を、{{c3::投資元本}}で割ったものである。	[Definition] 保有期間利回り (HPR) の定義
純粋期待仮説とは、「長期金利は{{c1::将来の短期金利の平均}}である」という考え方である。	[Definition] 純粋期待仮説の定義
