ポートフォリオ・インシュアランスは、株価が上昇したときは{{c1::利益を享受}}しつつ、下落したときには{{c2::一定の価値（フロア）を維持}}するための手法です。	[Parallel] ポートフォリオ・インシュアランスの目的
ポートフォリオ・インシュアランスは「{{c1::現物株}} ＋ {{c2::プット・オプション}}」の組み合わせ（{{c3::プロテクティブ・プット}}）で実現できます。	[Parallel] ポートフォリオ・インシュアランスの実現方法
市場に適切なプット・オプションが存在しない場合に{{c1::先物}}で代用します。	[Causality] プット・オプションがない場合の代替
$N_P \times \Delta_P$ は、作り出したい「{{c1::プット・オプションのデルタ}}」の総量です。	[Definition] $N_P \times \Delta_P$ の意味
プットのデルタは{{c1::負（$-1 \sim 0$）}}であるため、$N_P \times \Delta_P$ 全体は{{c2::負の値}}となり、先物を「{{c3::売り建てる}}」必要があることを示しています。	[Causality] プット・デルタの符号と先物売買
$\Delta_F$ は{{c1::先物1単位あたりのデルタ}}です。	[Definition] $\Delta_F$ の意味
株価が下落すると、プットのデルタ（絶対値）は{{c1::大きく}}なります。そのため、$N_F$ も{{c2::大きく}}なり、先物を「{{c3::追加で売る}}」必要があります。	[Causality] 株価下落時のデルタ調整
株価が上昇するとプットのデルタ（絶対値）が{{c1::小さく}}なるため、先物を「{{c2::買い戻す}}」ことになります。	[Causality] 株価上昇時のデルタ調整
ポートフォリオ・インシュアランスは、株価が「{{c1::下がったら売り}}、{{c2::上がったら買う}}」という、相場の動きを追いかける取引（{{c3::順張り}}）になります。	[Parallel] ポートフォリオ・インシュアランスの取引行動
相場が激しく上下に振れる（{{c1::ボラティリティが高い}}）展開では、{{c2::売買コストがかさみ}}、{{c3::パフォーマンスが悪化}}するリスクがあります。	[Causality] 「追い順」のリスク要因と結果
計算上、プットのデルタは通常{{c1::マイナス}}で与えられます。	[Definition] プット・デルタの符号
問題文に指定があれば先物デルタ（$\Delta_F$）は{{c1::$(1 + r \times T)$}}を使いますが、簡便的に{{c2::$1$}}とされることも多いです。	[Parallel] 先物デルタ（$\Delta_F$）の選択肢
プロテクティブ・プットを合成する場合、$\Delta_P$ を求めるために{{c1::ブラック・ショールズの公式}}が使われることがあります。	[Causality] プロテクティブ・プットとブラック・ショールズ・モデル
ブラック・ショールズの公式において、プットのデルタは{{c1::$N(d_1) - 1$}}で表されます。	[Definition] プットのデルタのブラック・ショールズ表現
