> **プットのデルタ ＝ コールのデルタ － 1**：$$\Delta_P = {{c1::\Delta_C}} - 1$$	[Formula] > **プットのデルタ ＝ コールのデルタ － 1**
デルタの関係性の導出：$$C - P = {{c1::S}} - {{c2::Ke}}^{-rT}$$	[Formula] デルタの関係性の導出
コールのデルタとプットのデルタの関係は、プット・コール・パリティ式を原資産価格 $S$ で微分することで導かれ、{{c1::$\Delta_C - \Delta_P = 1$}}となる。	[Definition] コールとプットのデルタの関係
コールのデルタは常にプットのデルタより「{{c1::1}}」大きい。	[Definition] コールとプットのデルタの関係
デルタ、ガンマ、ベガなどのギリシャ指標は、ポートフォリオ内で「{{c1::足し算}}」が可能である。	[Definition] ギリシャ指標の線形性
デルタ、ガンマ、ベガなどのギリシャ指標は、ポートフォリオ内で足し算が可能であるため、複雑な戦略（ストラドル、スプレッドなど）の総リスクを{{c1::単純な掛け算と足し算}}で算出できる。	[Causality] ギリシャ指標の線形性
ポートフォリオ・デルタの計算において、「{{c1::売りのマイナス}}」と「{{c2::プット自体のデルタのマイナス}}」が打ち消し合ってプラスになる計算ミスが非常に多いため、符号管理を徹底する必要がある。	[Parallel] ポートフォリオ・デルタ計算の注意点
ポートフォリオ全体のデルタを「{{c1::0}}」に調整することを{{c2::デルタ・ニュートラル戦略}}という。	[Definition] デルタ・ニュートラル戦略
現在のポートフォリオのデルタが +80 のとき、デルタ 0.5 のコールを{{c1::160}}単位売ればデルタ・ニュートラルになる。	[Causality] デルタ・ニュートラル戦略の計算例
デルタだけでなく、{{c1::ガンマ}}や{{c2::ベガ}}も同様に合算する。	[Parallel] ガンマやベガの合算
「{{c1::ガンマ・ニュートラル}}かつ{{c2::デルタ・ニュートラル}}」にするために、オプションと原資産を組み合わせて調整する手順は論述問題の頻出パターンである。	[Parallel] ガンマ・ニュートラルかつデルタ・ニュートラル戦略
コールのデルタが 0.65 である場合、同じ行使価格のプットのデルタは公式を使って「{{c1::$0.65 - 1 = -0.35$}}」と導き出す必要がある。	[Causality] プット・デルタの算出
