効率的市場において「投資価値 ＝ 市場価格」とは、割安な銘柄があれば即座に買われて価格が上がり、割高なら売られて価格が下がるため、常に「{{c1::正しい価格}}」がついている状態を指す。	[Definition] 効率的市場における「投資価値 ＝ 市場価格」
効率的市場における「過大な収益」とは、単なるプラス収益ではなく、「{{c1::リスクに見合った収益（CAPM等で求められる期待収益率）を上回る収益（アルファ）}}」を指す。効率的市場では、インデックスを上回るアクティブ運用は{{c2::運}}でしかあり得ない。	[Definition] 効率的市場における過大な収益の否定
ファーマによる効率的市場仮説の分類において、ウィーク型とは{{c1::過去の株価・出来高情報}}がすべて価格に反映されている状態を指す。	[Definition] 効率的市場仮説のウィーク型
ファーマによる効率的市場仮説の分類において、セミストロング型とは{{c1::過去の情報に加え、公表されているすべての情報（決算、ニュース等）}}が反映されている状態を指す。	[Definition] 効率的市場仮説のセミストロング型
ファーマによる効率的市場仮説の分類において、ストロング型とは{{c1::公表されていない内部情報（インサイダー情報）}}まですべて反映されている状態を指す。	[Definition] 効率的市場仮説のストロング型
ウィーク型市場が成立する場合、{{c1::テクニカル分析（チャート分析）}}は無意味となる。	[Causality] ウィーク型市場と分析手法
セミストロング型市場が成立する場合、{{c1::ファンダメンタル分析（財務分析）}}も無意味となる。	[Causality] セミストロング型市場と分析手法
ストロング型市場が成立する場合、{{c1::インサイダー情報による取引}}ですら儲からない。	[Causality] ストロング型市場と分析手法
現実の市場は「{{c1::セミストロング型に近いが、いくつかのアノマリーが存在する}}」というのが一般的な実証結果の解釈である。	[Definition] 現実の市場の解釈
「小型株効果」や「バリュー効果」は、効率的市場仮説に対する「{{c1::反証}}」として位置づけられる。これは「市場がセミストロング型であれば、PBRという公開情報を使って過大な収益をあげられるはずがないのに、実際には儲かっている」＝「市場は{{c2::完全には効率的ではない}}」という論理構成である。	[Definition] アノマリーと効率的市場仮説の関係
市場が効率的であれば、価格が動くのは「{{c1::新しい情報（予測不可能なニュース）}}」が出たときだけである。ニュースはランダムに発生するため、株価の動きもランダムになるという「ランダム・ウォーク理論」と関連がある。	[Causality] 効率的市場とランダム・ウォーク理論
「効率的市場仮説の検証は、常に使用する{{c1::資産価格モデル（CAPM等）}}との{{c2::共同仮説}}の検証になる」という点をジョイント・ハイポセシス問題という。	[Definition] ジョイント・ハイポセシス問題
