残余利益：$$残余利益 = {{c1::期首自己資本}} \times ({{c2::ROE}} - {{c3::k}})$$	[Formula] 残余利益
1株当たり残余利益：$$1株当たり残余利益 = {{c1::BPS_0}} \times {{c2::ROE}} - {{c1::BPS_0}} \times {{c3::k}}$$	[Formula] 1株当たり残余利益
1株当たり残余利益：$$ = {{c1::BPS_0}} \times ({{c2::ROE}} - {{c3::k}})$$	[Formula] 1株当たり残余利益
残余利益モデル（定率成長モデル）：$$P_0 = {{c1::BPS_0}} + \frac{({{c2::ROE}} - {{c3::k}}) {{c1::BPS_0}}}{{{c3::k}} - {{c4::g}}}$$	[Formula] 残余利益モデル（定率成長モデル）
残余利益（RI）の本質：$$ROE = {{c1::k}}$$	[Formula] 残余利益（RI）の本質
定率成長モデルの構造：$$RI_1 = ({{c1::ROE}} - {{c2::k}}) \times {{c3::BPS_0}}$$	[Formula] 定率成長モデルの構造
残余利益（RI）とは、企業が稼いだ利益のうち、株主が最低限要求するコスト（株主資本コスト $k$）を{{c1::上回る部分}}を指す。	[Definition] 残余利益（RI）の定義
$ROE > k$ のとき、企業は{{c1::価値を創造して}}おり、株価は純資産（BPS）より{{c2::高く}}なる（$PBR > 1$）。	[Causality] ROEと株価の関係（ROE > k）
$ROE = k$ のとき、企業は{{c1::期待通りの利益しか稼げておらず}}、株価は純資産と{{c2::等しく}}なる（$PBR = 1$）。	[Causality] ROEと株価の関係（ROE = k）
定率成長モデルの公式において、第1項 $BPS_0$ は「{{c1::現在の解散価値（ストック）}}」を、第2項の分数は「{{c2::将来の付加価値（フロー）の現在価値}}」を表している。	[Parallel] 定率成長モデルの構造
定率成長モデルの公式の分子にある $(ROE - k) BPS_0$ は「{{c1::1株当たりの残余利益（$RI_1$）}}」に相当する。	[Definition] 1株当たり残余利益の計算式
残余利益モデルが成立するための前提となるクリーン・サープラス関係（CSR）とは、「{{c1::当期純利益 − 配当 ＝ 自己資本の増分}}」が成り立つことである。	[Definition] クリーン・サープラス関係（CSR）の定義
クリーン・サープラス関係（CSR）の前提は、「{{c1::その他有価証券評価差額金}}」などの{{c2::資本直入項目}}がある場合に{{c3::崩れる}}。	[Causality] CSRの前提が崩れるケース
残余利益の計算において、$ROE$ を乗じる対象は「{{c1::期首}}」の自己資本（$BPS_0$）である。	[Causality] 残余利益計算におけるBPSの時点
残余利益モデルから導出されるPBRの理論式では、$ROE$ が上昇すれば $PBR$ は{{c1::上昇する}}。	[Causality] ROEとPBRの関係
残余利益モデルの計算において、$(ROE - k)$ の部分は「{{c1::スプレッド（超過収益率）}}」と呼ばれる。	[Definition] スプレッド（超過収益率）の定義
