$1^{\circ}$ もし、理論価格どおりに価格がついていなければ、：$$F_t = (1 + {{c1::r}} - {{c2::d}}){{c3::S_t}}$$	[Formula] $1^{\circ}$ もし、理論価格どおりに価格がついていなければ、
によって、裁定利益が得られる。：$$C_t = {{c1::P_t}} + \frac{{{c2::F_t}}}{(1 + {{c3::r}})^{{{c4::T}}-{{c5::t}}}} - \frac{{{c6::K}}}{(1 + {{c3::r}})^{{{c4::T}}-{{c5::t}}}} \iff {{c2::F_t}}$$	[Formula] によって、裁定利益が得られる。
によって、裁定利益が得られる。：$$C_t = ({{c1::C_t}} - {{c2::P_t}})(1 + {{c3::r}})^{{{c4::T}}-{{c5::t}}} + {{c6::K}}$$	[Formula] によって、裁定利益が得られる。
パリティ式の変形：$$C - P = {{c1::S}} - {{c2::K}}/(1+{{c3::r}})^{{c4::T}}$$	[Formula] パリティ式の変形
期間 $T$ の扱い：$$F = {{c1::S[1 + (r - d) \times ( \text{日数} / 365 )]}}$$	[Formula] 期間 $T$ の扱い
先物の理論価格は、「{{c1::現物を買って満期まで持ち続けるコスト}}」に基づきます。	[Definition] コスト・オブ・キャリー・モデル
金利負担はコスト（{{c1::プラス}}）になり、配当は収益（{{c2::マイナス}}）になるため、$(r - d)$ が{{c3::正味の持ち越し費用}}となります。	[Parallel] コスト・オブ・キャリー・モデルの正味の持ち越し費用
理論価格と市場価格が乖離した際、{{c1::割高な方を売り}}、{{c2::割安な方を買う}}ことで、{{c3::リスクゼロ}}で{{c4::利益を得る}}手法です。	[Definition] 裁定取引（アービトラージ）の定義
先物、コール、プットの3つを組み合わせることで、お互いを{{c1::合成（複製）}}できることを示しています。これにより、市場の{{c2::整合性}}が保たれています。	[Definition] パリティ関係の定義
"市場価格が理論価格を上回った際に行うべき適切な行動は、①「先物が高い」 $ightarrow$ 先物を{{c1::売る}}、②「現物が（相対的に）安い」 $ightarrow$ 現物を{{c2::買う}}、③「現物を買う資金がない」 $ightarrow$ 資金を{{c3::借りる}}、の3ステップです。"	[Sequential] 裁定取引のオペレーション（市場価格 > 理論価格）
理論価格の計算式で、金利 $r$ は「支払うもの」とイメージし{{c1::プラス}}、配当 $d$ は「もらえるもの」とイメージし{{c2::マイナス}}とします。	[Parallel] 金利 $r$ と配当 $d$ の符号
プット・コール・パリティは、通常 $C - P = S - K/(1+r)^T$ の形で学びますが、{{c1::$S$ を先物 $F$ に置き換えた形}}も重要です。このパリティ関係を利用して「{{c2::合成先物}}」を作成する手法は、アクティブ運用の戦略として問われることがあります。	[Definition] プット・コール・パリティ式の変形
"計算問題では、年率の $r, d$ を期間（日換算など）に合わせて{{c1::調整する}}必要があります。例：$F = S[1 + (r - d) 	imes ( 	ext{日数} / 365 )]$。"	[Causality] 計算問題における期間 $T$ の扱い
