$1^{\circ}$ 上述のように、このプット・コール・パリティの関係は無裁定条件から導くので、もしこの関係が成立していなければ裁定取引が可能である。：$$C_t = {{c1::P_t}} + {{c2::S_t}} - \frac{{{c3::K}}}{(1+{{c4::r}})^{{{c5::T}}-{{c6::t}}}}$$	[Formula] $1^{\circ}$ 上述のように、このプット・コール・パリティの関係は無裁定条件から導くので、もしこの関係が成立していなければ裁定取引が可能である。
$1^{\circ}$ 上述のように、このプット・コール・パリティの関係は無裁定条件から導くので、もしこの関係が成立していなければ裁定取引が可能である。：$$C_t = {{c1::P_t}} + {{c2::S_t}} - \frac{{{c3::K}}}{1+{{c4::r}}({{c5::T}}-{{c6::t}})}$$	[Formula] $1^{\circ}$ 上述のように、このプット・コール・パリティの関係は無裁定条件から導くので、もしこの関係が成立していなければ裁定取引が可能である。
合成ポジションの作成：$$ = {{c1::C}} + \frac{{{c2::K}}}{1+rT}$$	[Formula] 合成ポジションの作成
合成ポジションの作成：$$ = {{c1::S}} - \frac{{{c2::K}}}{1+rT}$$	[Formula] 合成ポジションの作成
「コールを買ってプットを売る」という組み合わせ（合成先物）の損益は、現物価格の動きと完全に一致するため、満期において両者の価値が{{c1::等しくなる}}ように現在の価格が調整される。	[Causality] 無裁定の原理
保護付きプット（現物 + プット）は、{{c1::コール}}と{{c2::債券}}で複製できる。	[Parallel] 合成ポジション（保護付きプット）
合成先物（コール買 + プット売）は、{{c1::現物買い}}と{{c2::債券売り（資金借入）}}で複製できる。	[Parallel] 合成ポジション（合成先物）
CMA試験では実務的な計算を簡略化するため、分母を $1 + rT$ とする{{c1::単利計算}}が指定されることが非常に多い。問題文の指示（単利か複利か）を必ず{{c2::確認}}する必要がある。	[Causality] CMA試験での単利計算
プット・コール・パリティにおいて、左辺（コール価格） $>$ 右辺（プット＋現物－債券）の場合、割高な{{c1::コールを売り}}、割安な{{c2::右辺のセット（プット買、現物買、資金借入）を構築}}することで裁定取引が可能となる。	[Causality] 裁定取引の判断（左辺 > 右辺）
原資産に配当 $d$ がある場合、現物価格 $S_t$ から{{c1::配当の現在価値}}を差し引く必要がある。この「{{c2::配当落ち}}」を考慮し忘れると計算がズレるため注意が必要である。	[Causality] プット・コール・パリティと配当
プット・コール・パリティの等式が厳密に成り立つのは{{c1::ヨーロピアン・オプションのみ}}である。アメリカン・オプションの場合は、早期行使の可能性があるため{{c2::不等式（範囲）}}で表される。	[Contrast] プット・コール・パリティの適用範囲
