プット・コール・パリティによる検証：$$C - P = {{c1::S}} - {{c2::K}} {{c3::e}}^{-rT}$$	[Formula] プット・コール・パリティによる検証
コールオプションは、原資産価格 ($S$) が{{c1::上がる}}ほど利益が増える。	[Causality] コールオプションと原資産価格
コールオプションは、権利行使価格 ($K$) が{{c1::下がる}}ほど利益が増える。	[Causality] コールオプションと権利行使価格
プットオプションは、原資産価格 ($S$) が{{c1::下がる}}ほど利益が増える。	[Causality] プットオプションと原資産価格
プットオプションは、権利行使価格 ($K$) が{{c1::上がる}}ほど利益が増える。	[Causality] プットオプションと権利行使価格
ボラティリティ ($\sigma$) が高まることは、コール・プット{{c1::双方}}のオプション価値に{{c2::プラス}}に働く。	[Causality] ボラティリティとオプション価値
無リスク利子率 ($r$) が上がると、コールの価値は{{c1::上がる}}。	[Causality] 無リスク利子率とコールオプション
無リスク利子率 ($r$) が上がると、プットの価値は{{c1::下がる}}。	[Causality] 無リスク利子率とプットオプション
オプションの残存期間が長いほど、一般にその価値は{{c1::上がる}}。	[Causality] 残存期間とオプション価値（一般論）
配当が支払われると、コールオプションの価値は{{c1::不利（下落）}}に働く。	[Causality] 配当とコールオプション
配当が支払われると、プットオプションの価値は{{c1::有利（上昇）}}に働く。	[Causality] 配当とプットオプション
オプション価格の{{c1::原資産価格の変化}}に対する感応度を示すギリシャ指標は{{c2::デルタ ($\Delta$)}}である。	[Definition] デルタ
オプション価格の{{c1::ボラティリティの変化}}に対する感応度を示すギリシャ指標は{{c2::ベガ ($\nu$)}}である。	[Definition] ベガ
オプション価格の{{c1::時間の経過}}に対する感応度を示すギリシャ指標は{{c2::セータ ($\theta$)}}である。	[Definition] セータ
ヨーロピアン・プットにおいて、残存期間の延長によってオプション価値が下落する例外的な動きは、{{c1::権利行使価格 $K$ の現在価値が期間の延長によって大きく割り引かれ、ボラティリティによるプラス効果を上回ってしまう}}「{{c2::極端なディープ・イン・ザ・マネー}}」の状態で起こり得る。	[Causality] ヨーロピアン・プットの残存期間と価値の例外
金利 $r$ がプラスの場合、無配当アメリカン・コールは満期まで持ち続けるほうが有利であり、{{c1::早期行使はされない}}。その理由は「{{c2::買うためのお金を先延ばしにできるメリット}}」があるためである。	[Causality] 無配当アメリカン・コールの早期行使
