高金利通貨（例えば米ドル）で運用して高い利息を得ても、その分、将来の為替予約価格（先物為替レート $F_0$）は現物レート $S_0$ よりも{{c1::安くなります}}。結果として、為替の損が金利の得を打ち消し、低金利通貨（円）で運用した場合と{{c2::同じ収益に落ち着きます}}。	[Causality] カバー付き金利パリティの直感的な意味
実務や計算の初期段階では、分数の形ではなく「金利差が{{c1::為替のフォワード・スプレッド（乖離）}}に等しい」という近似式がよく使われます。	[Definition] カバー付き金利パリティの近似式
将来の為替レートを「{{c1::為替予約}}」などで{{c2::確定させている}}状態を指します。	[Definition] 「カバー付き」の意味
予約をしない場合は「{{c1::カバーなし金利パリティ}}」と呼ばれ、{{c2::期待収益率}}の議論になります。	[Contrast] カバーなし金利パリティ
試験では、このパリティ式が崩れている数値が提示され、「どのように取引すれば利益が得られるか（{{c1::裁定戦略}}）」を答えさせる問題が出ます。	[Definition] 裁定機会を探す問題
公式 $>$ 市場価格の場合、{{c1::円運用が有利（{{c2::円で借りてドルで運用し、為替予約}}）}}。	[Causality] 裁定戦略（公式 > 市場価格）
公式 $<$ 市場価格の場合、{{c1::ドル運用が有利}}。	[Causality] 裁定戦略（公式 < 市場価格）
外貨建て資産への投資において、為替ヘッジをかける際のコストは「{{c1::内外金利差}}」にほぼ等しくなります。	[Definition] 為替ヘッジコストの算出
ポートフォリオ・マネジメントの問題で「為替ヘッジ付き外債投資の期待収益率」を問われた場合、{{c1::外債利回り － 内外金利差}} で計算することを覚えておきましょう。	[Definition] 為替ヘッジ付き外債投資の期待収益率
金利が年率で与えられている場合、ヘッジ期間（例：3ヶ月）に合わせて {{c1::$rac{90}{360}$ などの期間調整}}を行うのを忘れないでください。	[Sequential] 金利の期間調整
「1ドル＝150円」という邦貨建て表示の場合、公式の $S$ や $F$ は{{c1::そのままの数値を使えます}}。	[Parallel] $S_0$ と $F_0$ の表示方法（邦貨建て）
米ドル建て表示（1円＝0.0067ドル）の場合は{{c1::分母分子が逆転する}}ため、定義に注意が必要です。	[Parallel] $S_0$ と $F_0$ の表示方法（米ドル建て）
