オプション価格評価式における $d_2$ そのものが、{{c1::実効的なデフォルトまでの「距離」}}を表しています。	[Definition] $d_2$ の意味
DDの分子は、現在の企業価値 $V_0$ が負債額面 $F$ に対して{{c1::どれだけ余裕があるか（対数収益率ベース）}}を示します。	[Definition] DDの分子の意味
企業価値の変動（$\\sigma$）が激しいほど、たとえ現在の資産が多くても「偶然デフォルトライン（$F$）を下回る」リスクが高まるため、DDは{{c1::小さく}}なります。	[Causality] DDの分母とDDの関係
DDが大きいほど、資産価値が負債を割り込む確率が{{c1::低い（安全）}}と判定されます。	[Causality] DDとデフォルト確率の関係
企業価値（資産）が{{c1::上昇}}すると、DDは拡大します。	[Causality] DD拡大要因：企業価値
負債額面が{{c1::減少}}すると、DDは拡大します。	[Causality] DD拡大要因：負債額面
資産ボラティリティが{{c1::低下}}すると、DDは拡大します。	[Causality] DD拡大要因：資産ボラティリティ
期間 $T$ が{{c1::短縮}}すると、分母が小さくなるため、通常はDDが拡大します。	[Causality] DD拡大要因：期間 $T$
リスク中立デフォルト確率は{{c1::$N(-d_2)$}}で表されます。	[Definition] リスク中立デフォルト確率の表現
$d_2$（DD）が大きくなるほど、そのマイナス値である $-d_2$ の左側面積は{{c1::小さくなる}}ため、デフォルト確率は{{c2::低下}}します。	[Causality] $d_2$ とデフォルト確率の関係
マートン・モデルのDDをベースに、実際の企業の倒産データと照らし合わせて倒産確率を算出する手法は「{{c1::KMVモデル}}」として知られています。	[Definition] KMVモデルの定義
$d_1$ は{{c1::デルタ（株式価値の資産価値に対する感応度）}}に関係し、$d_2$ は{{c2::デフォルト確率}}に関係します。	[Contrast] $d_1$ と $d_2$ の違い
