ポートフォリオのリスク低減効果は、組み入れる資産同士の相関係数 $\rho$ が{{c1::1未満}}であれば必ず発揮されます。	[Definition] 分散投資のリスク低減効果
国内資産と外国資産は、国ごとの{{c1::経済事情が異なる}}ため相関が低くなりやすく、効率的フロンティアを{{c2::北西（低リスク・高リターン方向）}}へ押し上げる効果があります。	[Causality] 国内外資産の相関が低い理由と効果
国際分散投資により、同じ期待リターンであればより{{c1::低いリスク}}を、同じリスクであればより{{c2::高い期待リターン}}を目指すことができます。	[Parallel] 国際分散投資によるリスク・リターン特性の改善
国際分散投資の結果、リスク1単位あたりの超過リターンを示すシャープ・レシオが{{c1::向上}}します。	[Causality] シャープ・レシオの向上
資産価格の非相関の要因として、「{{c1::景気循環のズレ}}」や「{{c2::政策の違い}}」が重要です。	[Parallel] 資産価格の非相関の要因
例えば、日本が不況でも米国が好況であれば、{{c1::米国株}}を保有することでポートフォリオ全体の落ち込みをカバーできます。	[Causality] 非相関の具体例
国際分散投資のメリットは「資産価格の{{c1::非相関}}」にありますが、デメリットとして「{{c2::為替リスク}}」が加わります。	[Contrast] 国際分散投資のメリットとデメリット
試験では、国際分散投資のメリット（分散効果）がデメリット（為替リスクの追加）を{{c1::上回る条件}}について論じさせることが多いです。	[Definition] 試験での論点（国際分散投資）
近年、経済のグローバル化により世界的な市場相関が{{c1::高まっており}}、以前ほど{{c2::分散メリットが得られにくくなっている}}という指摘があります。	[Causality] 近年の市場相関の動向
特に金融危機時（パニック時）には相関が{{c1::1に近づく}}傾向があることは重要です。	[Causality] 金融危機時の相関
国際分散投資後のフロンティアは、国内資産のみのフロンティアよりも{{c1::左上（効率的）}}に位置します。	[Definition] 国際分散投資による効率的フロンティアの変化
シャープ・レシオは{{c1::リスク1単位あたりの超過リターン}}を示します。	[Definition] シャープ・レシオが示すもの
