フル・キャップ法は「{{c1::完全複製法}}」とも呼ばれる。	[Definition] フル・キャップ法
フル・キャップ法は、指数に含まれる全銘柄を指数と{{c1::同じ比率}}で保有するため、トラッキング・エラー（指数との乖離）を{{c2::最小限に抑えられる}}。	[Causality] フル・キャップ法の特性
フル・キャップ法は、銘柄数が多い債券指数の場合、{{c1::少額の銘柄の売買コストが嵩む}}という欠点がある。	[Causality] フル・キャップ法の欠点
層化抽出法は「{{c1::セル法}}」とも呼ばれる。	[Definition] 層化抽出法
層化抽出法は、母集団（指数）を「{{c1::期間}}」「{{c2::格付け}}」「{{c3::セクター}}」などのグループ（層）に分け、各層から{{c4::代表的な銘柄をピックアップ}}する。	[Parallel] 層化抽出法の方法
層化抽出法は、全銘柄を揃える必要がないため、運用資産が{{c1::比較的小さい}}場合や{{c2::流動性の低い市場}}で有効である。	[Parallel] 層化抽出法の有効性
最適化法は、{{c1::数理モデル（マルチファクター・モデル等）}}を用いて、指数の{{c2::リスク特性}}（デュレーション、凸性、セクター配分など）に最も近いポートフォリオを、{{c3::限られた銘柄数}}で{{c4::計算によって導き出す}}手法である。	[Definition] 最適化法の方法
フル・キャップ法は、トラッキング・エラー（TE）は{{c1::極小}}だが、取引コストと管理負荷が{{c2::最大}}である。	[Contrast] フル・キャップ法のトレードオフ
層化抽出法は、コストは{{c1::抑えられる}}が、抽出の仕方に主観が入るためTEが{{c2::発生しやすい}}。	[Contrast] 層化抽出法のトレードオフ
最適化法は、計算上は{{c1::効率的}}だが、モデルの前提が崩れるとTEが{{c2::大きく拡大するリスクがある}}。	[Contrast] 最適化法のトレードオフ
株式インデックスに比べ、債券インデックスは「{{c1::銘柄数が数千以上に及ぶ}}」「{{c2::非上場銘柄が多く流動性が低い}}」「{{c3::満期で銘柄が消滅する}}」といった特徴がある。	[Parallel] 債券インデックスの特徴
債券インデックスの特性から、債券運用ではフル・キャップ法よりも{{c1::層化抽出法}}や{{c2::最適化法}}が現実的な選択肢として選ばれるケースが多い。	[Causality] 債券運用におけるインデックス運用の選択
パッシブ運用においてトラッキング・エラーが発生する要因として「{{c1::配当・クーポンの再投資コスト}}」「{{c2::信託報酬（コスト）}}」「{{c3::指数の銘柄入れ替え時の価格乖離}}」などがある。	[Parallel] パッシブ運用におけるトラッキング・エラーの要因
最適化法の「目的関数」とは、具体的には「{{c1::ベンチマークとの収益率の差の分散（TEの2乗）を最小化する}}」ことなどを指す。	[Definition] 最適化法の目的関数
最適化法の制約条件には「{{c1::特定セクターの保有比率上限}}」などが含まれる。	[Definition] 最適化法の制約条件
