① 定額配当モデル（ゼロ成長モデル）：$$P_0 = \frac{{{c1::D}}}{{{c2::k}}}$$	[Formula] ① 定額配当モデル（ゼロ成長モデル）
② 定率成長モデル：$$P_0 = \frac{{{c1::D_1}}}{{{c2::k}}-{{c3::g}}}$$	[Formula] ② 定率成長モデル
③ 株主の要求収益率（株主資本コスト）…CAPM：$$k = {{c1::\beta_i}}({{c2::E[R_M]}} - {{c3::R_f}}) + {{c3::R_f}}$$	[Formula] ③ 株主の要求収益率（株主資本コスト）…CAPM
④ 配当成長率…サステイナブル成長率：$$g = {{c1::ROE}} \times {{c2::内部留保率}}$$	[Formula] ④ 配当成長率…サステイナブル成長率
④ 配当成長率…サステイナブル成長率：$$g = {{c1::ROE}} \times (1 - {{c2::配当性向}})$$	[Formula] ④ 配当成長率…サステイナブル成長率
配当のタイミング（$D_0$ と $D_1$ の違い）：$$D_1 = {{c1::D_0}} \times (1+{{c2::g}})$$	[Formula] 配当のタイミング（$D_0$ と $D_1$ の違い）
$ROE$ の分解（デュポン分析との組み合わせ）：$$g = {{c1::ROE}} \times \text{{{c2::内部留保率}}}$$	[Formula] $ROE$ の分解（デュポン分析との組み合わせ）
定額配当モデル（ゼロ成長モデル）は、将来の配当金 $D$ が永久に{{c1::一定である}}と仮定するモデルである。	[Definition] 定額配当モデルの定義
定額配当モデルでは、配当を{{c1::割引率 $k$}}で割ることで現在の株価 $P_0$ を求める。	[Definition] 定額配当モデルの株価計算
定率成長モデル（ゴードン・モデル）は、配当が{{c1::一定の割合 $g$ で永久に成長し続ける}}と仮定するモデルである。	[Definition] 定率成長モデルの定義
定率成長モデルでは、成長率 $g$ が高いほど株価は{{c1::高く}}評価される。	[Causality] 定率成長モデルにおける成長率と株価の関係
株主の要求収益率 ($k$) とは、投資家がその株式を保有するために{{c1::最低限必要とする収益率}}である。	[Definition] 株主の要求収益率の定義
株主の要求収益率 ($k$) は、実務や試験では{{c1::資本資産価格モデル（CAPM）}}を用いて算出されることが一般的である。	[Definition] 株主の要求収益率の算出方法
CAPMを用いて株主の要求収益率 ($k$) を算出する際、{{c1::リスクフリーレート $R_f$}}に、{{c2::市場全体のリスクプレミアム $(E[R_M] - R_f)$}}に{{c3::ベータ値 $eta$}}を乗じたものを加えて算出する。	[Parallel] CAPMによる株主の要求収益率の算出要素
配当成長率 ($g$) は、企業が稼いだ利益のうち、配当に回さなかった分（{{c1::内部留保}}）を{{c2::再投資}}に回し、それが{{c3::$ROE$ の効率}}で成長に寄与すると考えるモデルである。	[Definition] 配当成長率の考え方
内部留保率の計算式は「{{c1::$1 - \text{配当性向}$}}」である。	[Definition] 内部留保率の計算式
サステイナブル成長率の計算式は「{{c1::$ROE \times (1 - \text{配当性向})$}}」である。	[Definition] サステイナブル成長率の計算式
定率成長モデルの計算において、公式に使うのは「{{c1::次期の予想配当 $D_1$}}」である。	[Definition] 定率成長モデルにおける配当のタイミング
定率成長モデルの計算において、分子に「{{c1::直近の配当 $D_0$}}」をそのまま代入してしまうミスが非常に多い。	[Definition] 定率成長モデルにおける配当のタイミングの誤り
定率成長モデルの計算では、問題文が「{{c1::前期実績}}」か「{{c2::今期予想}}」かを慎重に読み分け、$D_1 = D_0 \times (1+g)$ で計算し直す必要があるか判断する。	[Parallel] 定率成長モデルにおける配当のタイミングの判断
定率成長モデルが成立するためには、必ず{{c1::$k > g$（要求収益率が成長率を上回る）}}である必要がある。	[Definition] 定率成長モデルの前提条件
定率成長モデルの計算結果が{{c1::マイナス}}になったり{{c2::異常に高い株価}}になったりした場合は、モデルの前提や計算ミスを疑う。	[Causality] 定率成長モデルの前提条件違反時の兆候
$g = ROE \times \text{内部留保率}$ の $ROE$ 部分が、「{{c1::売上高純利益率}} × {{c2::総資産回転率}} × {{c3::財務レバレッジ}}」に分解されて出題されることがある。	[Parallel] 配当成長率計算におけるROEの分解
CMA第2次試験では、一定期間は高成長し、その後安定成長に移行する「{{c1::2段階成長モデル}}」が頻出である。	[Definition] CMA第2次試験における頻出モデル
多段階成長モデルでは、{{c1::各期間の配当の現在価値}}を個別に計算し、{{c2::安定成長期の価値（ターミナルバリュー）}}を合算する手順を完璧にする必要がある。	[Sequential] 多段階成長モデルの計算手順
