バーベル型は{{c1::短期債と長期債の「両端」を持つ}}形である。	[Definition] バーベル型 (Barbell)
バーベル型は長期債を含むため、価格曲線の曲がり具合（コンベキシティ）が{{c1::強く}}なる。	[Definition] バーベル型 (Barbell) の特徴
バーベル型は金利が大きく動けば、{{c1::上昇時の利益が大きく}}、{{c2::下落時の損失が抑えられる}}という恩恵を受ける。	[Causality] バーベル型 (Barbell) のメリット
ブレット型は{{c1::中期債の「一点」に集中する}}形である。	[Definition] ブレット型 (Bullet)
ブレット型はバーベル型に比べてコンベキシティが{{c1::劣る}}。	[Contrast] ブレット型 (Bullet) の特徴
ブレット型は通常、順イールド環境下では中期債の利回りが効率よく獲得できるため、金利が動かない局面では{{c1::「キャリー（利息収益）」で優位に立つ}}。	[Causality] ブレット型 (Bullet) のメリット
金利変動が{{c1::大きい}}と予想される場合、{{c2::バーベル型}}戦略（{{c3::コンベキシティ}}優先）が選択される。	[Causality] バーベル型とブレット型の使い分け
金利変動が{{c1::小さい}}と予想される場合、{{c2::ブレット型}}戦略（{{c3::利回り}}優先）が選択される。	[Causality] バーベル型とブレット型の使い分け
「ポジティブ・バタフライ（中期金利が相対的に低下）」が起きると、中期債に集中している{{c1::ブレット型}}が最も利益を得る。	[Causality] ポジティブ・バタフライとブレット型の相性
「ポジティブ・バタフライ（中期金利が相対的に低下）」が起きると、バーベル型は{{c1::負ける}}。	[Causality] ポジティブ・バタフライとバーベル型の相性
ポジティブ・バタフライ（中期金利が相対的に低下）が起きるとブレット型が最も利益を得るという相関を「{{c1::バタフライ・トレード}}」と呼ぶ。	[Definition] バタフライ・トレード
バーベル型は長期債を抱えているため、イールドカーブが急傾斜（長期金利が上昇）する局面では、{{c1::長期債の価格下落がポートフォリオ全体の足を引っ張る}}。	[Causality] バーベル型のスティープニングへの脆弱性
ベンチマーク（市場指数）のデュレーションは維持しつつ、{{c1::KRD（キーレート・デュレーション）の配分を変えてプラスアルファを狙う}}戦略を「セミ・アクティブ（インデックス・プラス）」と呼ぶ。	[Definition] セミ・アクティブ（インデックス・プラス）の定義
セミ・アクティブ（インデックス・プラス）戦略は、純粋な{{c1::パッシブ}}でも{{c2::フル・アクティブ}}でもない。	[Definition] セミ・アクティブ（インデックス・プラス）の特徴
