$1^\circ$ Sharpe-Lintner型CAPMは超過収益率の形：$$E[R_i] = {{c1::R_F}} + {{c2::\beta_i}} ({{c3::E[R_M]}} - {{c1::R_F}})$$	[Formula] $1^\circ$ Sharpe-Lintner型CAPMは超過収益率の形
$1^\circ$ Sharpe-Lintner型CAPMは超過収益率の形：$$E[R_i] - R_F = {{c1::\beta_i}} ({{c2::E[R_M]}} - {{c3::R_F}})$$	[Formula] $1^\circ$ Sharpe-Lintner型CAPMは超過収益率の形
ベータ ($\beta$) の意味：$$\beta_i = \frac{{{c1::共分散}}}{{{c2::市場の分散}}}$$	[Formula] ベータ ($\beta$) の意味
ベータの計算公式：$$\beta_i = \frac{{{c1::\rho_{iM}}}{{c2::\sigma_i}}}{{{c3::\sigma_M}}}$$	[Formula] ベータの計算公式
市場全体が $1\%$ 動いたときに、その証券がどれだけ動くかを示す「{{c1::感応度}}」をベータと呼びます。	[Definition] ベータの意味（感応度）
ベータは、分散投資で消去できない「{{c1::市場リスク（系統的リスク）}}」の大きさを表します。	[Definition] ベータが表すリスク
ベータ ($eta_i = \frac{共分散}{市場の分散}$) は、{{c1::回帰直線の傾き}}そのものです。	[Definition] ベータと回帰直線の傾き
証券市場線（SML: Security Market Line）は、横軸に{{c1::ベータ ($eta$)}}$、縦軸に{{c2::期待収益率}}をとった直線です。	[Definition] 証券市場線（SML）の定義
すべての個別証券は（均衡状態であれば）証券市場線（SML）の{{c1::上}}に乗ります。	[Causality] SML上の証券
資本市場線（CML）が「{{c1::効率的ポートフォリオ}}」のみを対象としていたのに対し、証券市場線（SML）は「{{c2::すべての個別銘柄}}」に適用できる点が決定的な違いです。	[Contrast] SMLとCMLの対象の違い
理論上、リターンを決めるのは $\beta$ だけのはずですが、現実には「時価総額が小さい銘柄（小型株効果）」や「PBRが低い銘柄（バリュー効果）」の方が高いリターンを得やすいという「{{c1::アノマリー}}」が存在します。	[Definition] CAPMの実証的否定（アノマリー）
資本市場線（CML）の横軸は{{c1::$\sigma$（標準偏差）}}です。	[Definition] CMLの横軸
証券市場線（SML）の横軸は{{c1::$\beta$（ベータ）}}です。	[Definition] SMLの横軸
ベータの計算は「{{c1::相関係数}} $\times$ {{c2::個別リスク}} $\div$ {{c3::市場リスク}}」という関係でよく出題されます。	[Parallel] ベータの計算公式（プロース）
SMLより「上」にある銘柄は、ベータに見合ったリターン以上に稼いでいるため「割安」と判断されます。この直線からの乖離を「{{c1::アルファ}}」と呼びます。	[Definition] アルファの定義
アルファは{{c1::アクティブ運用}}の評価指標となります。	[Definition] アルファの用途
CAPMが現実の市場を説明しきれない理由として、「{{c1::借入制約の存在}}」や「{{c2::単一指標（ベータ）以外の要因（ファクター）の存在}}」が挙げられます。	[Parallel] CAPMの限界（論述対策）
