インデックス・ファンドの構築方法において、完全法（フル・レプリケーション）は{{c1::最も忠実な再現方法}}である。	[Definition] 完全法（フル・レプリケーション）
完全法（フル・レプリケーション）では、時価総額が極めて小さい銘柄まで買う必要があり、{{c1::取引コストが跳ね上がる}}。	[Causality] 完全法（フル・レプリケーション）のデメリット
層化抽出法（ストラティファイド・サンプリング）とは、市場を「業種」や「規模」などのグループ（セル）に分け、{{c1::各グループから代表的な数銘柄だけをピックアップする}}構築方法である。	[Definition] 層化抽出法（ストラティファイド・サンプリング）
層化抽出法（ストラティファイド・サンプリング）の強みは、全銘柄買わなくても{{c1::市場全体の特性（ベータ）を模倣できる}}ことである。	[Causality] 層化抽出法（ストラティファイド・サンプリング）のメリット
最適化法（オプティマイゼーション）とは、統計モデルを用いて「{{c1::どの銘柄をどれだけ持てば、最もベンチマークとの乖離（トラッキング・エラー）が小さくなるか}}」をコンピューターで計算するインデックス・ファンド構築方法である。	[Definition] 最適化法（オプティマイゼーション）
完全法（フル・レプリケーション）でもトラッキング・エラーが発生する理由として、{{c1::手数料}}、{{c2::流動性}}、{{c3::取引単位（単元株）}}の3点が挙げられる。	[Parallel] 完全法でトラッキング・エラーが発生する理由
資産規模が小さい場合、インデックス・ファンドの構築方法として{{c1::層化抽出法}}が適している。	[Causality] インデックス・ファンド構築方法の選択基準（資産規模が小さい場合）
資産規模が大きい場合、インデックス・ファンドの構築方法として{{c1::完全法}}が可能になり、エラーも最小化できる。	[Causality] インデックス・ファンド構築方法の選択基準（資産規模が大きい場合）
最適化法（オプティマイゼーション）は過去のデータに基づいているため、将来の市場環境が変わると{{c1::急激にエラーが拡大するリスク}}がある。	[Causality] 最適化法（オプティマイゼーション）のデメリット
トラッキング・エラーとは「{{c1::ベンチマーク収益率とポートフォリオ収益率の差の標準偏差}}」のことである。	[Definition] トラッキング・エラーの定義
