* $N(\cdot)$：標準正規分布の累積密度関数、：$$d_1 = \frac{\ln(\frac{{{c1::S}}}{{{c2::K}}}) + ({{c3::r}} + \frac{{{c4::\sigma}}^2}{2})({{c5::T}}-{{c6::t}})}{{{c4::\sigma}} \sqrt{{{c5::T}}-{{c6::t}}}}$$	[Formula] * $N(\cdot)$：標準正規分布の累積密度関数、
* $N(\cdot)$：標準正規分布の累積密度関数、：$$d_2 = \frac{\ln(\frac{{{c1::S}}}{{{c2::K}}}) + ({{c3::r}} - \frac{{{c4::\sigma}}^2}{2})({{c5::T}}-{{c6::t}})}{{{c4::\sigma}} \sqrt{{{c5::T}}-{{c6::t}}}}$$	[Formula] * $N(\cdot)$：標準正規分布の累積密度関数、
* $N(\cdot)$：標準正規分布の累積密度関数、：$$d_2 = {{c1::d_1}} - {{c2::\sigma}} \sqrt{{{c3::T}}-{{c4::t}}}$$	[Formula] * $N(\cdot)$：標準正規分布の累積密度関数、
ギリシャ指標（Greeks）への発展：$$\Delta = {{c1::N}}({{c2::d_1}})$$	[Formula] ギリシャ指標（Greeks）への発展
N(d1)はオプションの{{c1::デルタ（原資産が1動いた時にプレミアムがいくら動くか）}}に近い意味を持ち、{{c2::複製ポートフォリオで持つべき原資産の比率}}を示します。	[Definition] N(d1)の意味
N(d2)は満期時にオプションが{{c1::イン・ザ・マネー（ITM）になるリスク中立確率}}を示します。	[Definition] N(d2)の意味
幾何ブラウン運動では、株価そのものはマイナスにならないが、その「収益率」が{{c1::正規分布}}に従う（＝株価は{{c2::対数正規分布}}に従う）という仮定は、オプション理論の根幹です。	[Parallel] 幾何ブラウン運動の仮定
ブラック＝ショールズ・モデルの仮定のうち、実務上の限界として指摘されるポイントは「{{c1::配当がない（仮定 2）}}」や「{{c2::ボラティリティは不変}}（仮定 7）」といった点である。	[Parallel] ブラック＝ショールズ・モデルの仮定（実務上の限界）
ブラック＝ショールズ・モデルの公式における第一項 $SN(d_1)$ は、{{c1::将来もらえる株の期待値の現在価値}}を意味する。	[Definition] ブラック＝ショールズ・モデルの第一項の意味
ブラック＝ショールズ・モデルの公式における第二項 $Ke^{-rT}N(d_2)$ は、{{c1::将来支払う権利行使価格の期待値の現在価値}}を意味する。	[Definition] ブラック＝ショールズ・モデルの第二項の意味
ギリシャ指標のデルタは{{c1::価格感応度}}を意味し、ブラック＝ショールズ式では{{c2::$N(d_1)$}}と表される。	[Definition] ギリシャ指標 デルタ
ギリシャ指標のベガは{{c1::ボラティリティ感応度}}を意味する。	[Definition] ギリシャ指標 ベガ
ギリシャ指標のセータは{{c1::時間経過の影響}}を意味する。	[Definition] ギリシャ指標 セータ
市場価格（$C$）からブラック＝ショールズ式を逆算して求めた $\sigma$ を{{c1::インプライド・ボラティリティ（IV）}}と呼び、これは「{{c2::市場が将来の変動をどう見ているか}}」を測るアナリストにとって最重要の指標の一つである。	[Definition] インプライド・ボラティリティ (IV) の定義
