$1^\circ$ アナリスト試験ではトラッキング・エラーを、「〔ポートフォリオの収益率〕－〔ベンチマーク収益率〕」の標準偏差とし、これをアクティブ・リスク（$\omega$）としている。：$$情報比(IR_A) = \frac{{{c1::アクティブ・リターン}}}{{{c2::アクティブ・リスク}}} \left( = \frac{{{c3::\alpha_A}}}{{{c4::\omega_A}}} \right)$$	[Formula] $1^\circ$ アナリスト試験ではトラッキング・エラーを、「〔ポートフォリオの収益率〕－〔ベンチマーク収益率〕」の標準偏差とし、これをアクティブ・リスク（$\omega$）としている。
アクティブ・リターン ($\\\alpha$) は、{{c1::ベンチマーク収益率をどれだけ上回ったか（アウトパフォームしたか）}}を指します。	[Definition] アクティブ・リターン ($\\\alpha$)
アクティブ・リスク ($\\\omega$) は、{{c1::ベンチマークとの収益率の差のバラツキ}}、すなわち {{c2::トラッキング・エラー（TE）}} のことです。	[Definition] アクティブ・リスク ($\\\omega$)
グラフにおける直線の{{c1::傾き}}が{{c2::情報比}}です。	[Definition] 情報比の解釈 (グラフの傾き)
情報比の傾きが急（IRが高い）場合、{{c1::少ないリスクで効率的に超過収益を上げている}}ことを意味します。	[Causality] 情報比の解釈 (IRが高い場合)
情報比の傾きが緩やか（IRが低い）場合、{{c1::大きなリスク（ベンチマークとの乖離）を取っている割に、収益が伴っていない}}ことを意味します。	[Causality] 情報比の解釈 (IRが低い場合)
アクティブ・リスク（$\\\omega$）は、計算問題では「{{c1::ポートフォリオ収益率 － ベンチマーク収益率}}」のデータの{{c2::標準偏差}}を算出させる場合があります。	[Definition] アクティブ・リスクの計算方法
シャープ・レシオの分母は{{c1::全リスク（$\\\sigma$）}}であるのに対し、情報比の分母は{{c2::トラッキング・エラー（$\\\omega$）}}です。	[Contrast] シャープ・レシオと情報比の比較 (分母)
シャープ・レシオは{{c1::絶対的}}なパフォーマンスを評価するのに対し、情報比は{{c2::相対的（対ベンチマーク）}}なパフォーマンスを評価します。	[Contrast] シャープ・レシオと情報比の比較 (パフォーマンス評価)
アクティブ・マネジャーの「{{c1::ベンチマークに対する勝負の巧拙}}」を評価するには、{{c2::情報比}}が最も適しています。	[Definition] 情報比の用途
複数のアクティブ・ファンドの組み合わせにおけるアクティブ・リスク（$\\\omega_P$）の計算には、{{c1::ファンド間の相関}}が影響します。	[Causality] 複数運用者の組み合わせにおけるアクティブ・リスク
複数のアクティブ・ファンドを組み合わせる際、ポートフォリオ全体のアクティブ・リターンは{{c1::加重平均}}で求まります。	[Definition] 複数運用者の組み合わせにおけるアクティブ・リターンの計算
複数のアクティブ・ファンドを組み合わせる際のアクティブ・リスク（$\\\omega_P$）の計算は、2資産ポートフォリオの分散公式の $\\\sigma$ を {{c1::$\\\omega$}} に、$\\\rho$ を「{{c2::アクティブ・リターンの相関}}」に置き換えて計算します。	[Definition] 複数運用者の組み合わせにおけるアクティブ・リスクの計算方法
マーケット・モデルの文脈では、アクティブ・リスク $\\\omega$ は「{{c1::残差標準偏差}}」として近似されることがあります。	[Definition] アクティブ・リスクと残差標準偏差
ジェンセンのアルファを{{c1::残差標準偏差}}で割る計算パターンも覚えておきましょう。	[Definition] ジェンセンのアルファの計算パターン
