① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間：$$D_{MAC} = \frac{\frac{1 \times {{c1::C}}}{1+{{c2::y}}} + \frac{2 \times {{c1::C}}}{(1+{{c2::y}})^2} + \dots + \frac{{{c3::n}} \times ({{c1::C}}+{{c4::F}})}{(1+{{c2::y}})^{{c3::n}}}}{{{c5::P}}}$$	[Formula] ① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間
① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間：$$D_{MAC} = \frac{\su{{c1::m_{t=1}}}^{{{c2::n}}} \frac{tC}{(1+{{c3::y}})^{{c4::t}}} + \frac{nF}{(1+{{c3::y}})^{{c2::n}}}}{{{c5::P}}}$$	[Formula] ① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間
① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間：$$D_{MAC} = \frac{\frac{nF}{(1+{{c1::y}})^{{c2::n}}}}{{{c3::P}}}$$	[Formula] ① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間
① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間：$$D_{MAC} = \frac{nP}{{{c1::P}}}$$	[Formula] ① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間
① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間：$$D_{MAC} = {{c1::n}}$$	[Formula] ① マコーレー・デュレーション（$D_{MAC}$）：投資の平均回収期間
② 修正デュレーション（$D_{mod}$）：債券価格の金利感応度：$$D_{mod} = {{c1::D_{MAC}}} \cdot \frac{1}{1+{{c2::y}}}$$	[Formula] ② 修正デュレーション（$D_{mod}$）：債券価格の金利感応度
マコーレー・デュレーションは、将来受け取るキャッシュ・フロー（利息と元本）の現在価値を重みとした、{{c1::投資元本の平均回収期間}}を指します。	[Definition] マコーレー・デュレーションの定義
割引債（ゼロクーポン債）の場合、途中の利払いがないため、{{c1::デュレーションは残存期間（$n$）と一致}}します。	[Causality] 割引債とマコーレー・デュレーション
利付債の場合、途中で利息を受け取る分、元本の回収が早まるため、{{c1::デュレーションは残存期間よりも短く}}なります。	[Causality] 利付債とマコーレー・デュレーション
修正デュレーションは、{{c1::金利（最終利回り）が $1\%$ 変化したときに、債券価格が何％変化するかを示す指標}}です。	[Definition] 修正デュレーションの定義
試験問題で「デュレーションを求めよ」と言われた際、選択肢の単位が「{{c1::年}}」であればマコーレー・デュレーションを、「{{c2::％（または単位なし）}}」で感応度を問うていれば修正デュレーションを指していることが多いです。	[Contrast] デュレーションの読み分け（単位）
価格変化率の近似式 $\frac{\Delta P}{P} \approx -D_{mod} \times \Delta y$ において、金利が{{c1::上昇}}すると価格は{{c2::下落}}します。	[Causality] 価格変化率の近似計算（金利と価格の関係）
修正デュレーションは「{{c1::すべての年限の金利が同じだけ動く（パラレルシフト）}}」ことを前提としています。	[Definition] 修正デュレーションの前提
イールド・カーブがひねるような動き（ツイスト）をする場合、特定の年限の感応度を示す{{c1::キーレート・デュレーション}}が必要になります。	[Causality] イールドカーブのツイストとキーレート・デュレーション
残存期間が{{c1::長いほど}}デュレーションは大きくなります（金利リスクが高くなります）。	[Causality] デュレーションが大きくなる条件（残存期間）
クーポンレートが{{c1::低いほど（割引債が最大）}}デュレーションは大きくなります（金利リスクが高くなります）。	[Causality] デュレーションが大きくなる条件（クーポンレート）
最終利回りが{{c1::低いほど}}デュレーションは大きくなります（金利リスクが高くなります）。	[Causality] デュレーションが大きくなる条件（最終利回り）
