実効デュレーションの計算：$$D_{eff} = \frac{P_- - P_+}{2 \times {{c1::P_0}} \times {{c2::\Delta}} {{c3::y}}}$$	[Formula] 実効デュレーションの計算
コーラブル債において、ある一定の金利水準を下回ると、発行体が繰上償還を行う権利を行使するため、価格がそれ以上上がりにくくなる「{{c1::価格上昇が頭打ちになる現象}}」をグラフで表すと、曲線が下に凹む形になるため、ネガティブ・コンベキシティと呼ぶ。	[Definition] ネガティブ・コンベキシティ
ネガティブ・コンベキシティとは、価格上昇が頭打ちになる現象をグラフで表すと、曲線が{{c1::下に凹む}}形になることである。	[Definition] ネガティブ・コンベキシティ
繰上償還によって将来のキャッシュフローが変化する債券のリスク測定には、通常のマコーレー・デュレーションではなく、{{c1::金利変化に伴うキャッシュフローの変動を考慮した}}「実効デュレーション」を用いる。	[Definition] 実効デュレーション
金利低下局面における通常の債券の価格変化は、金利低下に伴い、デュレーションは{{c1::長く}}なり、価格は{{c2::大きく上昇}}する。	[Parallel] 金利低下時の債券の挙動（通常の債券）
金利低下局面におけるコーラブル債の価格変化は、金利低下に伴い、繰上償還リスクが高まるため、デュレーションは{{c1::短く}}なり、価格上昇は{{c2::限定的}}となる。	[Parallel] 金利低下時の債券の挙動（コーラブル債）
金利低下局面において、コーラブル債は繰上償還リスクが高まるため、デュレーションは{{c1::短くなる}}。	[Causality] 金利低下とコーラブル債のデュレーション
コーラブル債の実効デュレーションの計算において、金利低下時の価格上昇（$P_-$）が抑えられるため、分子の差が{{c1::小さく}}なり、結果としてデュレーションが{{c2::低下する}}。	[Causality] コーラブル債の実効デュレーションの計算
コーラブル債の価格は「{{c1::普通社債の価格}} － {{c2::コール・オプションの価値}}」という関係式で表される。	[Parallel] コーラブル債の価格構成
金利が低下すると、発行体が持つコール・オプションの価値が{{c1::上がる}}ため、投資家が受け取るコーラブル債の価格は{{c2::押し下げられる}}。	[Causality] 金利低下とコーラブル債価格
投資家が「{{c1::早期償還を請求できる権利}}」を持つ債券をプッタブル債という。	[Definition] プッタブル債
プッタブル債は金利上昇時に投資家が権利を行使するため、金利上昇局面でデュレーションが{{c1::短くなる（下落を抑える）}}特性がある。	[Causality] プッタブル債の金利上昇時の挙動
プッタブル債は、金利上昇局面でデュレーションが短くなる特性により、{{c1::ポジティブ・コンベキシティがさらに強化}}される。	[Definition] プッタブル債のコンベキシティ
