レラティブ・バリュー（相対価値）型戦略は、「{{c1::Aに対してBが安すぎる}}」という歪みに着目する。	[Definition] レラティブ・バリュー型戦略の本質
レラティブ・バリュー型戦略は、買いと売りを同時に行う（ロング・ショート）ことで、市場全体の上げ下げ（ベータ）を{{c1::打ち消す}}。	[Causality] レラティブ・バリュー型戦略の特徴
レラティブ・バリュー型戦略は、理論的には{{c1::マーケット・ニュートラル（市場中立的）}}なため、不況期でも{{c2::安定した収益}}が期待される。	[Causality] マーケット・ニュートラル
ディレクショナル（市場方向性）型戦略は、「{{c1::これから市場（または特定の銘柄）は上がる、あるいは下がる}}」という予測に賭ける。	[Definition] ディレクショナル型戦略の本質
ディレクショナル型戦略は市場全体の変動リスクをとるため、予測が当たれば{{c1::大きな収益}}、外れれば{{c2::大きな損失}}となる。	[Causality] ディレクショナル型戦略のリスクとリターン
イベント・ドリブン型戦略は、M&A（合併・買収）や企業再編、倒産手続きといった「{{c1::特定の事象}}」から生じる価格変動を狙う。	[Definition] イベント・ドリブン型戦略の本質
イベント・ドリブン型戦略の代表例であるマージャ・アービトラージ（合併裁定）は、{{c1::合併発表後の買収企業と被買収企業の価格差}}を狙う。	[Definition] マージャ・アービトラージ
イベント・ドリブン型戦略のリスクの源泉は、市場動向よりも、{{c1::そのイベントが完遂されるかどうか}}にある。	[Causality] イベント・ドリブン型戦略のリスク源泉
レラティブ・バリュー型戦略が伝統的資産との相関が低いのは、{{c1::ロングとショートを組み合わせてベータ（市場感応度）を排除し}}、{{c2::個別銘柄のアルファ（固有リターン）のみを抽出している}}からである。	[Causality] レラティブ・バリュー型戦略と伝統的資産との相関
レラティブ・バリュー型戦略の具体例は、{{c1::転換社債裁定（CBアービトラージ）}}、{{c2::債券裁定}}などである。	[Parallel] レラティブ・バリュー型戦略の具体例
ディレクショナル型戦略の具体例は、{{c1::ロング・ショート}}、{{c2::マネージド・フューチャーズ}}などである。	[Parallel] ディレクショナル型戦略の具体例
イベント・ドリブン型戦略の具体例は、{{c1::リストラクチャリング}}、{{c2::ディストレスト（破綻・不振企業）投資}}などである。	[Parallel] イベント・ドリブン型戦略の具体例
「アービトラージ（裁定）」は低リスクな印象を与えるが、金融危機などで{{c1::流動性が枯渇する}}と、価格の歪みが解消されるどころか拡大し、{{c2::壊滅的な損失（テール・リスク）}}を被ることがある。	[Causality] アービトラージにおけるテール・リスク
