① 期待収益率：$$E[R_p] = {{c1::w_1}} {{c2::E[R_1]}} + {{c3::w_2}} {{c4::E[R_2]}} + \cdots + {{c5::w_n}} {{c6::E[R_n]}}$$	[Formula] ① 期待収益率
① 期待収益率：$$E[R_p] = \su{{c1::m_{i=1}}}^{{{c2::n}}} {{c3::w_i}} {{c4::E[R_i]}}$$	[Formula] ① 期待収益率
② 分散：$$\sigma_p^2 = {{c1::w_1}}^2 {{c2::\sigma_1}}^2 + {{c3::w_2}}^2 {{c4::\sigma_2}}^2 + \cdots + {{c5::w_n}}^2 {{c6::\sigma_n}}^2$$	[Formula] ② 分散
② 分散：$$ = \su{{c1::m_{i}}} {{c2::w_i}}^2 {{c3::\sigma_i}}^2 + 2 \su{{c4::m_{j=i+1}}}^{{{c5::n}}} \su{{c6::m_{i=1}}}^{{{c5::n}}-1} {{c2::w_i}} {{c7::w_j}} {{c8::Cov}}({{c9::R_i}}, {{c10::R_j}})$$	[Formula] ② 分散
② 分散：$$ = \su{{c1::m_{i=1}}}^{{{c2::n}}} \su{{c3::m_{j=1}}}^{{{c2::n}}} {{c4::w_i}} {{c5::w_j}} {{c6::Cov}}({{c7::R_i}}, {{c8::R_j}})$$	[Formula] ② 分散
または、：$$\sigma_p^2 = {{c1::w_1}}^2 {{c2::\sigma_1}}^2 + {{c3::w_2}}^2 {{c4::\sigma_2}}^2 + \cdots + {{c5::w_n}}^2 {{c6::\sigma_n}}^2$$	[Formula] または、
または、：$$ = \su{{c1::m_{i}}} {{c2::w_i}}^2 {{c3::\sigma_i}}^2 + 2 \su{{c4::m_{j=i+1}}}^{{{c5::n}}} \su{{c6::m_{i=1}}}^{{{c5::n}}-1} {{c2::w_i}} {{c7::w_j}} {{c8::\rho_{ij}}} {{c3::\sigma_i}} {{c9::\sigma_j}}$$	[Formula] または、
または、：$$ = \su{{c1::m_{i=1}}}^{{{c2::n}}} \su{{c3::m_{j=1}}}^{{{c2::n}}} {{c4::w_i}} {{c5::w_j}} {{c6::\rho_{ij}}} {{c7::\sigma_i}} {{c8::\sigma_j}}$$	[Formula] または、
分散投資の効果（結論）：$$w = 1/{{c1::n}}$$	[Formula] 分散投資の効果（結論）
ポートフォリオの分散における分散項（$\sum w_i^2 \sigma_i^2$）は、{{c1::各資産が個別に持つリスクの寄与分}}です。	[Definition] 分散項の定義
ポートフォリオの分散における分散項（$\sum w_i^2 \sigma_i^2$）は、資産数 $n$ に対して項の数は{{c1::$n$ 個}}となります。	[Definition] 分散項の項数
ポートフォリオの分散における共分散項（$2 \sum \sum w_i w_j Cov$）は、{{c1::資産間の相関によるリスクの寄与分}}です。	[Definition] 共分散項の定義
ポートフォリオの分散における共分散項（$2 \sum \sum w_i w_j Cov$）は、資産数 $n$ に対して項の数は{{c1::$n(n-1)$ 個}}となります。	[Definition] 共分散項の項数
資産数 $n$ が大きくなるにつれて、ポートフォリオの分散における共分散項の影響力は{{c1::圧倒的に大きく}}なります。	[Causality] 共分散項の影響力
資産数 $n$ を極限まで増やすと、個別の資産のリスク（分散項）はほぼ相殺され、ポートフォリオのリスクは「{{c1::資産間の平均的な共分散}}」に収束します。	[Causality] 分散投資の効果
資産数 $n$ を極限まで増やすと、ポートフォリオのリスクが資産間の平均的な共分散に収束するという事実は、{{c1::インデックス運用}}の理論的根拠の一つです。	[Causality] インデックス運用の理論的根拠
CMA Level 2 試験で実際に出題されるポートフォリオ計算は、手計算の限界から{{c1::3資産}}までが一般的です。	[Definition] CMA試験でのポートフォリオ計算の資産数
3資産モデルにおける共分散項は、{{c1::$(1,2)$, $(1,3)$, $(2,3)$ の3セット}}です。	[Definition] 3資産モデルの共分散項
分散・共分散行列において、対角線上にあるのが各資産の{{c1::分散}}です。	[Definition] 分散・共分散行列の読み取り
分散・共分散行列において、対角線以外にあるのが資産間の{{c1::共分散}}です。	[Definition] 分散・共分散行列の読み取り
すべての資産に均等配分する{{c1::等金額投資（$w = 1/n$）}}の場合、式が簡略化され、分散投資の効果を説明する論述問題として出題されやすい傾向にあります。	[Definition] 等金額投資の出題傾向
相関係数 $\rho$ を用いて共分散項を計算する場合、$\rho$ に{{c1::$2 \times w_i \times w_j \times \sigma_i \times \sigma_j$}}を掛けるのを忘れないでください。特に{{c2::$2$}}を掛け忘れるミスが散見されます。	[Exam-critical condition] 相関係数を用いた計算での注意点
