保有期間利回り ($r$) $=$ 債券の売却時点までの利回り：$$r = \frac{{{c1::C}} + {{c2::P}}'}{{{c2::P}}} - 1$$	[Formula] 保有期間利回り ($r$) $=$ 債券の売却時点までの利回り
保有期間利回り ($r$) $=$ 債券の売却時点までの利回り：$$P = \frac{{{c1::C}} + {{c2::P}}'}{1 + {{c3::r}}}$$	[Formula] 保有期間利回り ($r$) $=$ 債券の売却時点までの利回り
保有期間利回り（HPR）とは、投資期間中の{{c1::インカム・ゲイン（クーポン $C$）}}と、{{c2::キャピタル・ゲイン（売却価格 $P'$ $-$ 購入価格 $P$）}}の合計を、{{c3::投資元本}}で割ったものである。	[Definition] 保有期間利回り (HPR) の定義
純粋期待仮説とは、「長期金利は{{c1::将来の短期金利の平均}}である」という考え方である。	[Definition] 純粋期待仮説の定義
純粋期待仮説が正しければ、「1年物債券を1年持つ」のも「10年物債券を1年だけ持って売る」のも、期待される収益率は{{c1::同じ（1年物スポット・レート）}}になる。	[Causality] 純粋期待仮説が成立する場合の結論
ローリング・イールドとは、イールド・カーブが{{c1::右上がり（順イールド）}}のとき、時間の経過とともに{{c2::残存期間が短くなる}}ことで、適用される金利が{{c3::低下し（価格が上昇し）}}、{{c4::単なる利息以上の収益が得られる効果}}を指す。	[Definition] ローリング・イールドの定義
純粋期待仮説が成立する場合、1年後のスポット・レートは{{c1::現在のフォワード・レート（$f_{1,2}$ など）と等しくなる}}。	[Causality] 純粋期待仮説とフォワード・レートの関係
保有期間利回りの計算問題で、売却時の価格 $P'$ が直接与えられず「1年後の金利水準（スポット・レート）」が与えられた場合、まず{{c1::その金利を使って $P'$ を算出}}し、次に{{c2::収益率 $r$ を求める}}という2段階の計算が必要である。	[Sequential] 保有期間利回りの計算トラップと手順
順イールドの環境下で、債券の「残存期間が短くなることによる価格上昇（キャピタル・ゲイン）」がプラスに働く効果を「{{c1::スライディング・ダウン効果}}」とも呼ぶ。	[Definition] ローリング・イールドの効果の別名
イールド・カーブが不変の場合、保有期間利回りと最終利回りでは{{c1::保有期間利回り}}が高くなる。	[Causality] イールド・カーブ不変時の保有期間利回りと最終利回りの関係
割引債（ゼロクーポン債）は、クーポン $C$ が{{c1::0}}であることを前提としている。	[Definition] 割引債の特性
割引債の計算を簡略化するテクニックとして、{{c1::$F=100$}}として計算する方法がある。	[Definition] 割引債計算の簡略化テクニック
