国ごとの経済成長率、金利、政治リスクなどがリターンの決定要因として大きいと考えるアプローチを{{c1::トップダウン・カントリー・アプローチ}}という。	[Definition] トップダウン・カントリー・アプローチの定義
市場間の統合が{{c1::不十分}}な場合、国ごとの動きがバラバラ（低相関）になるため、まず「どの国に投資するか」を決定するメリットが大きくなる。	[Causality] トップダウン・カントリー・アプローチの有効性
グローバル化が進み、市場が統合されると、「国」よりも「業種」の共通要因がリターンを左右するようになり、世界中の同業種の中から有望な銘柄を直接選ぶアプローチを{{c1::ボトムアップ・セクター・アプローチ}}という。	[Definition] ボトムアップ・セクター・アプローチの定義
グローバル化が進み、市場が{{c1::統合}}されると、「国」よりも「業種」の共通要因がリターンを左右するようになるため、ボトムアップ・セクター・アプローチが有効となる。	[Causality] ボトムアップ・セクター・アプローチの有効性
市場が統合されていない（Segmented）場合、{{c1::国固有の要因}}が支配的となる。	[Contrast] 市場が統合されていない場合の支配的要因
市場が統合されている（Integrated）場合、{{c1::産業固有の要因}}が支配的となる。	[Contrast] 市場が統合されている場合の支配的要因
国際市場の統合が進むと、{{c1::業種別アプローチ（方法②：ボトムアップ・セクター・アプローチ）}}が有効になる。	[Causality] 国際市場の統合と有効なアプローチ
現代では、特に先進国間では市場の統合が進んでいるため、{{c1::方法②（セクター・アロケーション）}}が主流になりつつある。	[Parallel] 実務的なトレンド（先進国）
エマージング市場（新興国）については、依然として{{c1::方法①（カントリー・アロケーション）}}が有効であるとされることが多い。	[Parallel] 実務的なトレンド（エマージング市場）
方法①（トップダウン・カントリー・アプローチ）は「{{c1::トップダウン・アプローチ}}」などの名称で登場することもある。	[Parallel] 方法①の別名
方法②（ボトムアップ・セクター・アプローチ）は「{{c1::グローバル・セクター・アプローチ}}」などの名称で登場することもある。	[Parallel] 方法②の別名
