最小分散ヘッジ比率：$$h^* = \frac{{{c1::\rho_{PF}}} {{c2::\sigma_P}} {{c3::\sigma_F}}}{{{{c3::\sigma_F}}}^2}$$	[Formula] 最小分散ヘッジ比率
最小分散ヘッジ比率：$$h^* = {{c1::\beta_{PF}}}$$	[Formula] 最小分散ヘッジ比率
最小分散ヘッジ後のヘッジ・ポートフォリオの分散：$${\sigma_H}^2 = {{{c1::\sigma_P}}}^2 (1 - {{{c2::\rho}}^2}_{{{c3::PF}}})$$	[Formula] 最小分散ヘッジ後のヘッジ・ポートフォリオの分散
最小分散ヘッジ比率（$h^*$）の本質：$$h^* = \frac{{{c1::\rho_{PF}}} {{c2::\sigma_P}} {{c3::\sigma_F}}}{{{{c3::\sigma_F}}}^2}$$	[Formula] 最小分散ヘッジ比率（$h^*$）の本質
ヘッジ後のリスク削減効果：$${\sigma_H}^2 = {{{c1::\sigma_P}}}^2 (1 - {{{c2::\rho}}^2}_{{{c3::PF}}})$$	[Formula] ヘッジ後のリスク削減効果
最小分散ヘッジ比率（$h^* = \frac{\rho_{PF} \sigma_P \sigma_F}{{\sigma_F}^2}$）は、統計学における{{c1::回帰係数（$\beta$）}}そのものである。	[Definition] 最小分散ヘッジ比率の本質
最適なヘッジ比率は、現物資産の収益率を先物の収益率で回帰分析したときの{{c1::傾き}}である。	[Definition] 最小分散ヘッジ比率の解釈
ヘッジ後の分散 ${\sigma_H}^2 = {\sigma_P}^2 (1 - {\rho^2}_{PF})$ において、${\rho^2}_{PF}$ は{{c1::決定係数（R-squared）}}を意味する。	[Definition] ヘッジ後の分散における${\rho^2}_{PF}$
相関係数が $1$ または $-1$ であればヘッジ後のリスクは{{c1::ゼロ}}になる。	[Causality] 相関係数とヘッジ後のリスク
相関が低い（不完全なヘッジ）ほど、ヘッジ後もリスクが{{c1::残る}}。	[Causality] 相関が低い場合のヘッジ効果
最小分散ヘッジ比率の導出過程は、ヘッジ・ポートフォリオの分散をヘッジ比率 $h$ で微分して「{{c1::$=0$}}」と置くプロセスであり、これは{{c2::二次関数の頂点を求める作業}}と同じである。	[Definition] 最小分散ヘッジ比率の導出方法
証券分析の試験で「このポートフォリオのベータは1.2である」と与えられた場合、直ちに $h^* = {{c1::1.2}}$ として計算を進める判断力が求められる。	[Causality] 試験における$\beta$とヘッジ比率
最適ヘッジ比率 $h^*$ を求めた後、さらに「{{c1::先物何枚を売建てるべきか}}」を問われることがある。	[Definition] 必要な先物枚数の計算
必要な先物枚数の「枚数換算」では、{{c1::計算ミス}}をする受験生が非常に多いため、単位には細心の注意を払う必要がある。	[Causality] 先物枚数換算の注意点
ヘッジ後の{{c1::分散}}は $(1 - \rho^2)$ 倍になるが、{{c2::標準偏差}}を問われた場合は $\sqrt{1 - \rho^2}$ 倍となる。	[Contrast] ヘッジ後の分散と標準偏差
相関係数が低い場合に発生する残存リスクを「{{c1::ベーシス・リスク}}」と呼ぶ。	[Definition] ベーシス・リスクの定義
ベーシス・リスクは{{c1::相関係数が低い場合}}に発生する残存リスクである。	[Causality] ベーシス・リスク発生の原因
論述問題では、なぜ完全なヘッジが不可能なのかを{{c1::相関係数}}を用いて説明させる問題が定番である。	[Causality] 論述問題でのベーシス・リスク
