カバー付き金利パリティ（CIP）の応用：$$\frac{F_t}{S_0} = \frac{1 + {{c1::i_{\text{¥}}}}}{1 + i_{\$$	[Formula] カバー付き金利パリティ（CIP）の応用
為替ヘッジを行うと、為替変動（$\sigma_{EX}$）の影響は{{c1::なくなる}}。	[Causality] 為替ヘッジの影響（為替変動）
為替ヘッジを行うと、代わりに「内外金利差（$i_{\text{¥}} - i_{\$}$）」がリターンに{{c1::加減算される}}。	[Causality] 為替ヘッジの影響（金利差）
日本の金利が米国の金利より低い場合、$(i_{\text{¥}} - i_{\$})$ はマイナスとなり、これが{{c1::ヘッジコスト}}としてリターンを押し下げる。	[Definition] ヘッジコストの発生条件と定義
日本の金利が米国の金利より低い場合、$(i_{\text{¥}} - i_{\$})$ はマイナスとなり、これがヘッジコストとしてリターンを{{c1::押し下げる}}。	[Causality] ヘッジコストのリターンへの影響
為替を完全にヘッジしているため、円ベースのリスク（$\sigma_r$）は、純粋に{{c1::外貨建て資産そのもののリスク（$\sigma_{\$}$）}}と一致する。	[Causality] 為替フルヘッジ時のリスク
理論的な先物価格でヘッジを行う以上、為替リターンは必然的に{{c1::金利差}}に置き換わる。	[Causality] 理論的な先物価格ヘッジと為替リターン
ヘッジをした場合としない場合の期待収益率の比較は、{{c1::$E[r_{EX}]$（為替予想変化率）}}と{{c2::$(i_{\text{¥}} - i_{\$})$（内外金利差）}}のどちらが大きいかで決まる。	[Parallel] ヘッジ有無での期待収益率比較の決定要因
ヘッジをした場合としない場合のリスクの比較は、{{c1::$\sqrt{\sigma_{\$}^2 + \sigma_{EX}^2 + 2 \rho \sigma_{\$} \sigma_{EX}}$}}と{{c2::$\sigma_{\$}$}}を比較する。	[Parallel] ヘッジ有無でのリスク比較の対象
近年の低金利環境（特に日本と米国の大きな金利差）では、ヘッジコストが外債の利回りを上回る{{c1::「逆ざや」}}の状態になることがある。	[Definition] 逆ざやの状態
近年の低金利環境（特に日本と米国の大きな金利差）では、{{c1::ヘッジコストが外債の利回りを上回る}}「逆ざや」の状態になることがある。	[Causality] 逆ざやの発生要因
投資期間が3ヶ月や6ヶ月であれば、金利差も{{c1::期間調整（例：$\times 3/12$）}}する必要がある。	[Causality] 金利差の期間調整
金利が高い場合や精度が求められる記述式問題では、近似式 $r_{\$} + i_{\text{¥}} - i_{\$}$ ではなく、{{c1::厳密な式 $(1 + r_{\$}) \frac{1 + i_{\text{¥}}}{1 + i_{\$}} - 1$}}を用いるよう指示がある場合がある。	[Causality] 厳密な式の使用条件
