セーフティ・クッションとは、現在のポートフォリオの時価と、将来の目標額を確保するために必要な最低限の資産（フロア）との{{c1::差額}}を指します。	[Definition] セーフティ・クッションの定義
セーフティ・クッションがある限り、ファンドマネージャーはリスクを取って超過収益を狙う{{c1::アクティブ運用}}が許されます。	[Causality] セーフティ・クッションとアクティブ運用
フロア（Floor）とは、負債の支払いなどの目標を達成するために必要な{{c1::現在価値}}です。	[Definition] フロア（Floor）の定義
市場金利が上昇すればフロアは{{c1::下がり}}、金利が低下すればフロアは{{c2::上昇}}します。	[Causality] 金利とフロアの変動
ポートフォリオの時価が{{c1::フロアまで低下}}した場合、ただちにアクティブ運用を停止し、資産と負債のデュレーションを一致させる「{{c2::イミュニゼーション}}」へと移行します。	[Sequential] トリガー（切り替え）の条件と行動
ポートフォリオの時価がフロアまで低下しイミュニゼーションへ移行することで、当初の最低目標の達成を{{c1::確実に}}します。	[Causality] イミュニゼーション移行の目的
「コンティンジェント（Contingent）」は「{{c1::条件付きの}}」という意味です。	[Definition] コンティンジェントの意味
コンティンジェント・イミュニゼーション戦略は、「{{c1::特定の条件（フロア到達）まではアクティブに動く}}」という仕組みです。	[Definition] コンティンジェント・イミュニゼーションの仕組み
CPPI（Constant Proportion Portfolio Insurance）とコンティンジェント・イミュニゼーションは、{{c1::クッションを利用したリスクテイク}}という基本的な考え方が似ています。	[Parallel] CPPIとコンティンジェント・イミュニゼーションの類似点
コンティンジェント・イミュニゼーションは「{{c1::債券の金利リスク管理（イミュニゼーション）}}」に特化した文脈で登場します。	[Contrast] CPPIとコンティンジェント・イミュニゼーションの相違点
金利上昇は債券価格を{{c1::下落}}させますが、同時にフロア（将来の目標額を現在価値に割り戻した額）も{{c2::低下}}させます。	[Parallel] 金利上昇が債券価格とフロアに与える影響
セーフティ・クッションが大きいほど、より高い{{c1::デュレーション・ミスマッチ（金利予測に基づくリスクテイク）}}が許容されます。	[Causality] セーフティ・クッションとアクティブ運用の自由度
セーフティ・クッションが薄くなると、{{c1::パッシブに近い運用}}を余儀なくされます。	[Causality] セーフティ・クッションと運用スタイルの関係
