$1^\circ$ ジェンセンのアルファは証券特性線を回帰モデル：$$\alpha_j = {{c1::R_A}} - \{{{c2::R_F}} + {{c3::\beta_A}}({{c4::R_M}} - {{c2::R_F}})\}$$	[Formula] $1^\circ$ ジェンセンのアルファは証券特性線を回帰モデル
$1^\circ$ ジェンセンのアルファは証券特性線を回帰モデル：$$R_P - R_F = {{c1::\alpha}} + {{c2::\beta}}({{c3::R_M}} - {{c4::R_F}}) + \varepsilon$$	[Formula] $1^\circ$ ジェンセンのアルファは証券特性線を回帰モデル
グラフにおいて、証券市場線（SML）からの{{c1::垂直方向の乖離}}がアルファです。	[Definition] ジェンセンのアルファの定義（グラフ上）
$$\\alpha > 0$$：{{c1::リスクに見合った以上の収益を上げており、運用者は優秀（または銘柄が割安）}}。	[Definition] ジェンセンのアルファの解釈 ($\\alpha > 0$)
$$\\alpha = 0$$：{{c1::市場平均並みの効率}}。	[Definition] ジェンセンのアルファの解釈 ($\\alpha = 0$)
$$\\alpha < 0$$：{{c1::リスクに見合った収益を上げられておらず、運用能力に疑問（または銘柄が割高）}}。	[Definition] ジェンセンのアルファの解釈 ($\\alpha < 0$)
アルファが「偶然（運）」ではないことを証明するために、{{c1::$t$ 検定}}を行います。	[Causality] ジェンセンのアルファの統計的有意性の確認方法
サンプル数が少ない場合やバラツキが大きい場合、アルファがプラスでも「{{c1::統計的に有意ではない（実力とは言えない）}}」と判定されることがあります。	[Causality] 統計的有意性がない場合のアルファの解釈
ジェンセンのアルファの公式の $$\{\quad \}$$ の部分は、まさに{{c1::CAPMの基本式}}です。「実際の収益率」から「{{c2::CAPMで計算した期待収益率}}」を引くという構造をしっかり叩き込んでください。	[Parallel] ジェンセンのアルファの計算式の構造
シャープやトレイナーは「{{c1::比率（レシオ）}}」であり、単位が{{c2::ありません}}。	[Parallel] シャープ・トレイナーの単位
ジェンセンのアルファは「{{c1::％（リターンの差）}}」という{{c2::絶対量}}で表されます。	[Parallel] ジェンセンのアルファの単位
論述問題で「リスク調整後の{{c1::超過リターンの大きさ}}を測定する指標はどれか」と問われたら、ジェンセンのアルファが正解です。	[Definition] ジェンセンのアルファが測定するもの
証券特性線の回帰式において、切片が{{c1::$$\alpha$$}}、傾きが{{c2::$$\beta$$}}です。	[Parallel] 証券特性線におけるジェンセンのアルファとベータ
試験では回帰分析の結果（表）が与えられ、{{c1::切片の項の係数}}を見てアルファを判断させる形式が非常に多いです。	[Causality] 試験でのジェンセンのアルファの判断方法
「{{c1::$p$ 値が $0.05$ 以下}}」や「{{c2::$t$ 値が $2$ 以上}}」といった統計的基準を基に、「このアルファは運用能力によるものと判断できるか」という実務的な解釈が求められます。	[Parallel] $t$ 検定における統計的有意性の基準
