パラレル・シフトとは、短期から長期まで、{{c1::すべての年限の金利が同じ方向に同じ幅だけ動くこと}}です。	[Definition] パラレル・シフトの定義
ツイストにおけるスティープニング（急勾配化）は、{{c1::短期金利が下がり長期金利が上がる（または長期の上昇幅が大きい）}}状態を指します。	[Definition] スティープニングの定義
ツイストにおけるフラットニング（平坦化）は、{{c1::短期金利が上がり長期金利が下がる（または長期の下落幅が大きい）}}状態を指します。	[Definition] フラットニングの定義
バタフライとは、{{c1::中期金利（3〜7年程度）が短期・長期金利に対して相対的にどう動くか}}を示すものです。	[Definition] バタフライの定義
ポジティブ・バタフライとは、中期金利が相対的に{{c1::低下}}し、カーブの「山」が{{c2::低くなる（または「谷」が深くなる）}}動きです。	[Definition] ポジティブ・バタフライの定義
ネガティブ・バタフライとは、中期金利が相対的に{{c1::上昇}}し、カーブが「{{c2::ハンプ（こぶ）}}」のように盛り上がる動きです。	[Definition] ネガティブ・バタフライの定義
弾物（ブレット）型ポートフォリオ戦略は、{{c1::中期債に集中}}する戦略です。	[Definition] 弾物（ブレット）型戦略の定義
弾物（ブレット）型ポートフォリオ戦略は、{{c1::ネガティブ・バタフライ（中期金利上昇）}}に弱いとされます。	[Causality] 弾物（ブレット）型戦略の弱点
亜鈴（バーベル）型ポートフォリオ戦略は、{{c1::短期と長期に分散}}する戦略です。	[Definition] 亜鈴（バーベル）型戦略の定義
亜鈴（バーベル）型ポートフォリオ戦略は、{{c1::ポジティブ・バタフライ（中期金利低下）}}に弱いとされます。	[Causality] 亜鈴（バーベル）型戦略の弱点
フラットニングは、景気過熱を抑えるための「{{c1::利上げ（短期金利上昇）}}」と、将来の景気後退を織り込んだ「{{c2::長期金利低下}}」が同時に起こることで発生します。	[Causality] フラットニングの発生要因
