住宅ローンの借り手が、{{c1::金利低下時にローンを借り換えたり}}、{{c2::住宅売却時に一括返済したりすること}}をプリペイメント（期限前弁済）という。	[Definition] プリペイメント（期限前弁済）リスクの定義
プリペイメント（期限前弁済）により、投資家は「{{c1::金利が低い時期に元本が戻ってきてしまう}}」という{{c2::再投資リスク}}を負う。	[Causality] プリペイメント（期限前弁済）リスクが投資家にもたらすもの
プリペイメント特性により、MBSは「{{c1::金利低下時に価格が上がりにくい}}」性質を持つ。これを{{c2::ネガティブ・コンベキシティ}}という。	[Definition] MBSのネガティブ・コンベキシティ
投資家は、{{c1::複雑なプリペイメントリスクを引き受ける対価}}として、国債等よりも{{c2::高い利回り（スプレッド）}}をMBSから得ることができる。	[Causality] MBSの期待リターンの源泉
MBSは金利低下時、{{c1::プリペイメントが加速}}し、{{c2::価格上昇が抑制される}}。	[Causality] MBSの金利低下時の挙動
MBSは金利上昇時、{{c1::プリペイメントが鈍化}}し、かえって{{c2::デュレーションが長期化（エクステンション・リスク）}}して、{{c3::価格下落が大きくなる}}。	[Causality] MBSの金利上昇時の挙動
MBSの金利感応度は、「{{c1::上がる時は鈍く、下がる時は鋭い}}」というリスク特性を持つ。	[Definition] MBSの金利感応度の非対称性
プリペイメントの速度を測る標準的な指標として「{{c1::PSA（Public Securities Association）モデル}}」がある。これは{{c2::100% PSAを基準に、その何倍の速さで返済が進むかを評価する指標}}である。	[Definition] PSAモデルの定義
社債が{{c1::景気動向（信用リスク）}}に左右されるのに対し、MBSは「{{c2::個人の住宅ローン返済行動（金利水準や人口統計）}}」に依存する。	[Contrast] MBSと社債の依存要因の対比
MBSは個人の住宅ローン返済行動に依存するため、ポートフォリオ全体の{{c1::安定化}}に寄与する。	[Causality] MBSの分散投資効果
単純にキャッシュフローを右から左へ流すMBSを「{{c1::パス・スルー型}}」という。	[Definition] パス・スルー型MBSの定義
{{c1::優先劣後構造などを用いてキャッシュフローを組み替えた}}MBSを「{{c2::CMO（Collateralized Mortgage Obligation）}}」という。	[Definition] CMO（Collateralized Mortgage Obligation）の定義
CMOはキャッシュフローを組み替えることで、投資家の{{c1::多様なニーズ}}に対応できる。	[Causality] CMOのメリット
