デルタは債券の「{{c1::デュレーション}}」に相当し、ガンマは債券の「{{c2::コンベキシティ}}」に相当します。	[Contrast] デルタとガンマの債券相当物
デルタはプレミアム曲線の「{{c1::傾き}}」であり、ガンマは価格曲線の「{{c2::曲がり具合}}」を示します。	[Contrast] デルタとガンマの曲線上の意味
デルタは{{c1::デルタ・ヘッジ（価格変動を打ち消すための原資産の売買比率）}}を決定します。	[Definition] デルタの役割
ガンマが大きいほど、{{c1::こまめなリバランス}}が必要になります。	[Causality] ガンマとリバランスの関係
ガンマは原資産が動いたときに{{c1::デルタがどれだけ変化するか}}を表します。	[Definition] ガンマの定義
オプションのリスク指標において、ベガは{{c1::ボラティリティ}}への感応度、ローは{{c2::金利}}への感応度、シータは{{c3::時間経過}}の影響を示します。	[Parallel] ベガ・ロー・シータの感応度
ベガはコール・プット共に{{c1::常にプラス}}です。	[Definition] ベガの符号
オプションの買い手にとってシータは通常{{c1::マイナス（タイムディケイ）}}となります。	[Definition] シータの符号
コールのデルタは{{c1::$0 \sim 1$（右上がりの曲線）}}、プットのデルタは{{c2::$-1 \sim 0$（右下がりの曲線）}}です。	[Contrast] コールとプットのデルタ範囲
デルタは「{{c1::満期にイン・ザ・マネー（ITM）になる確率}}」の近似値としても扱われます。	[Definition] デルタの別の意味
アット・ザ・マネー（ATM）のとき、デルタはおよそ{{c1::$0.5$ 前後}}になります。	[Definition] ATM時のデルタ
1,000単位のコールを買い、デルタが $0.6$ のとき、価格変動リスクをゼロにするには原資産を{{c1::$1,000 \times 0.6 = 600$ 単位の現物を売る}}必要があります。	[Causality] デルタ・ヘッジの計算例
シータによる価値減少（タイムディケイ）は、{{c1::満期が近づくほど}}、かつ{{c2::アット・ザ・マネー（ATM）であるほど}}加速します。	[Causality] シータによる価値減少の加速条件
オプションの「買い」は{{c1::ガンマ・ロング（利益が加速し損失が減速する）}}となり、「売り」は{{c2::ガンマ・ショート（利益が限定的で損失が加速する）}}となります。	[Contrast] ガンマ・ロングとガンマ・ショート
